# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 56 ; 0 ; 10 ; [0.033456467845498064] ; [-0.047411692203709714]
998 ; 56 ; 1 ; 0 ; [0.29042350452960708] ; [0.036801937095365535]
998 ; 56 ; 1 ; 2 ; [0.36814616348435975] ; [0.75696167268205228]
998 ; 56 ; 1 ; 11 ; [0.60465508912542631] ; [3.0760277367599773]
998 ; 56 ; 1 ; 12 ; [0.37463361691580943] ; [0.86376212292387122]
998 ; 56 ; 1 ; 13 ; [0.59801387095103808] ; [1.8552665753141726]
998 ; 56 ; 1 ; 19 ; [1.0469850790056299] ; [2.2584048587801591]
998 ; 56 ; 2 ; 0 ; [0.088223953522299517, 0.047209176106959842, 0.067334530556110439] ; [0.35931373875886247, 0.081614295375037768, 0.19300318495875288]
998 ; 56 ; 2 ; 1 ; [0.034959329111859894, 0.052515505123031887] ; [0.37255642858346788, 0.05806692826249428]
998 ; 56 ; 2 ; 2 ; [0.018976883777844577] ; [-0.042146250440703789]
998 ; 56 ; 3 ; 1 ; [0.0064421521177822696] ; [0.61820967494473233]
998 ; 56 ; 4 ; 0 ; [0.62519821735255698] ; [0.18097601125089044]
998 ; 56 ; 4 ; 16 ; [0.15745890319358208] ; [0.53150121633953107]
998 ; 56 ; 5 ; 0 ; [0.49283618109775884] ; [0.15806399513532449]
998 ; 56 ; 5 ; 5 ; [1.5883426417568767] ; [0.67332259494497793]
998 ; 56 ; 5 ; 8 ; [0.90843212778972726] ; [-0.051051074847830495]
998 ; 56 ; 6 ; 1 ; [0.18905152110271753] ; [0.44490668547275458]
998 ; 56 ; 6 ; 2 ; [0.14699787795504674] ; [1.2122156137719282]
998 ; 56 ; 7 ; 0 ; [0.41772310319240169, 0.22304291503827459] ; [0.29955582994136987, 0.14234272656049735]
998 ; 56 ; 7 ; 1 ; [0.53412534026947589] ; [0.1249460328658923]
998 ; 56 ; 7 ; 3 ; [0.20404061962917477] ; [0.23019377694045953]
998 ; 56 ; 8 ; 0 ; [0.44289601646746118] ; [0.10160849116120195]
998 ; 56 ; 8 ; 2 ; [0.95463615414278691] ; [0.031491073479445457]
998 ; 56 ; 8 ; 3 ; [0.30385479418033545] ; [0.080285888234110259]
998 ; 56 ; 10 ; 0 ; [0.60905133322115723] ; [0.46162349269462727]
998 ; 56 ; 10 ; 1 ; [-0.032039075578937218] ; [0.023600828691662613]
998 ; 56 ; 10 ; 4 ; [0.32209710016375398] ; [0.1331202471533782]
998 ; 56 ; 10 ; 5 ; [0.22707116236071098, 0.096700759762211236] ; [0.13579977220830189, 0.22238320099417469]
998 ; 56 ; 11 ; 0 ; [0.17857695760125578, 0.10916348143268834, 0.092114216424376533, 0.052718369474745466] ; [0.52790306068413961, 0.23000482792144403, 0.049652962485466516, 0.08127963850736615]
998 ; 56 ; 11 ; 3 ; [55.585601258000871] ; [1.7915131611056583]
998 ; 56 ; 11 ; 4 ; [0.084140840081678311] ; [1.3096712495993752]
998 ; 56 ; 11 ; 5 ; [0.055341990497192892] ; [0.92745463289901198]
998 ; 56 ; 12 ; 0 ; [0.50736484483171063] ; [0.41116274059728652]
998 ; 56 ; 12 ; 2 ; [0.23751940104032462] ; [0.82542610864996036]
998 ; 56 ; 12 ; 3 ; [0.4616427324945066] ; [0.051116166890431032]
998 ; 56 ; 12 ; 6 ; [0.1612466310855418] ; [0.45665820842707427]
998 ; 56 ; 12 ; 7 ; [0.64019804194127494] ; [0.58326116164703434]
998 ; 56 ; 12 ; 11 ; [0.13511866931490985] ; [1.0333968349758851]
998 ; 56 ; 12 ; 12 ; [1.0169808294464457] ; [0.48032546390739717]
998 ; 56 ; 13 ; 0 ; [0.19669901528491604, 0.54417717794397891] ; [0.19283614223434911, 0.45382444859893634]
998 ; 56 ; 14 ; 0 ; [0.33390703796444515, 0.085231771779718218, 0.064882983259064511] ; [0.096210709167422512, 0.074034288274437254, 0.1323177358624478]
