# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 64 ; 0 ; 0 ; [0.01719938666097625, 0.17433020433300356, 0.078853266939479846, 0.049564706953834803] ; [0.10845423804584535, 0.39610979201162072, 0.10751923081911792, 0.10807783646298061]
998 ; 64 ; 0 ; 3 ; [0.18036927493378593] ; [-0.090086608216786712]
998 ; 64 ; 1 ; 1 ; [0.40964780456992433] ; [0.67459013144623781]
998 ; 64 ; 1 ; 4 ; [0.96342139512565328] ; [1.664301068894759]
998 ; 64 ; 1 ; 5 ; [0.54707913732364322] ; [0.94752484944490278]
998 ; 64 ; 1 ; 6 ; [0.50551168677672242] ; [0.29642673544849624]
998 ; 64 ; 1 ; 11 ; [0.50153335339420335] ; [1.2792921061614893]
998 ; 64 ; 2 ; 0 ; [-0.0024696900324285859, 0.10894197205904595, 0.17546524462624399, 0.046488966595267682] ; [0.44382232319073867, 0.22841758371375484, 0.15285071877243669, 0.061291757119976926]
998 ; 64 ; 4 ; 0 ; [0.12807075506321486] ; [0.52044154171163493]
998 ; 64 ; 5 ; 0 ; [0.17076674838624697, 0.023437515918840912] ; [0.3259439718260978, 0.19948409397498046]
998 ; 64 ; 6 ; 1 ; [-0.0015753044886378717] ; [0.1638092323044735]
998 ; 64 ; 6 ; 2 ; [0.14038971226308883] ; [7.5400579042727642]
998 ; 64 ; 6 ; 4 ; [0.083857182734617744] ; [0.25763116878945597]
998 ; 64 ; 6 ; 5 ; [0.20528737172801048] ; [0.19808317071357456]
998 ; 64 ; 7 ; 9 ; [0.68007865357299191] ; [0.29961831640458447]
998 ; 64 ; 7 ; 21 ; [1.3183263504358227] ; [2.062598920770419]
998 ; 64 ; 7 ; 26 ; [0.70063206517808208] ; [0.21037473208359633]
998 ; 64 ; 8 ; 0 ; [0.041943573288773114, -0.0023656756698430233, 0.02612421161830876] ; [0.097372235818191058, 0.07255457981116667, 0.081655709727743428]
998 ; 64 ; 8 ; 1 ; [0.022053482547437216] ; [0.1462916747271879]
998 ; 64 ; 9 ; 4 ; [1.5193237454831456] ; [0.35591048288406291]
998 ; 64 ; 10 ; 0 ; [0.78812994556729721] ; [0.45010336780519633]
998 ; 64 ; 11 ; 0 ; [0.37265599862492899] ; [2.4195344785006641]
998 ; 64 ; 11 ; 2 ; [1.699270425301558] ; [1.0312031232424741]
998 ; 64 ; 11 ; 4 ; [1.0411694921843246] ; [1.7683550520517612]
998 ; 64 ; 11 ; 5 ; [1.9505195709565544] ; [2.3432492122615209]
998 ; 64 ; 11 ; 6 ; [3.7196586713416826] ; [1.6752142651333881]
998 ; 64 ; 11 ; 7 ; [2.2166266386373041] ; [1.6196497242651304]
998 ; 64 ; 11 ; 8 ; [0.80765336566183965] ; [1.7897702914530522]
998 ; 64 ; 11 ; 10 ; [1.1815318286185201] ; [1.513883045375892]
998 ; 64 ; 11 ; 13 ; [1.2581064436657157] ; [2.1448958362123385]
998 ; 64 ; 11 ; 14 ; [0.17016018455246454] ; [2.34673085426008]
998 ; 64 ; 11 ; 15 ; [0.1537661666463368] ; [1.7214766280371376]
998 ; 64 ; 11 ; 18 ; [1.2265248372950064] ; [1.6013359529737976]
998 ; 64 ; 11 ; 19 ; [0.45575368941145111] ; [1.8206649029995714]
998 ; 64 ; 11 ; 20 ; [0.3480904450503422] ; [2.7247508354755432]
998 ; 64 ; 11 ; 21 ; [0.062915712083464512] ; [1.4397789084773764]
998 ; 64 ; 11 ; 23 ; [3.1263281100103635] ; [2.6103057741977835]
998 ; 64 ; 11 ; 28 ; [2.2324476728640104] ; [1.4441501029448187]
998 ; 64 ; 11 ; 32 ; [1.4445817383812398] ; [1.7581847710869358]
998 ; 64 ; 11 ; 33 ; [2.2459641901023089] ; [1.5590388272010023]
998 ; 64 ; 11 ; 36 ; [3.6312674165259051] ; [1.7691860506767783]
998 ; 64 ; 11 ; 44 ; [1.0063418138261657] ; [2.7367407806650887]
998 ; 64 ; 11 ; 45 ; [0.27753137461717109] ; [1.4111756404177129]
998 ; 64 ; 11 ; 46 ; [2.029153777860238] ; [2.809710939149658]
998 ; 64 ; 11 ; 47 ; [1.8991637427704329] ; [1.7697411974566415]
998 ; 64 ; 11 ; 48 ; [1.7195209595681236] ; [2.8358156753846013]
998 ; 64 ; 12 ; 1 ; [1.6238261271280583] ; [0.92676763179774568]
998 ; 64 ; 12 ; 4 ; [1.9827192264398978] ; [2.2428397829725784]
998 ; 64 ; 12 ; 5 ; [1.4757632468210509] ; [2.040153490427711]
998 ; 64 ; 12 ; 7 ; [0.14349663519511538] ; [0.94215620322286942]
998 ; 64 ; 12 ; 8 ; [1.2057540553060242] ; [0.59288195380331454]
998 ; 64 ; 12 ; 9 ; [1.7466169660764386] ; [0.9775675789249314]
998 ; 64 ; 12 ; 10 ; [1.6483521012163591] ; [1.7194810638755094]
998 ; 64 ; 12 ; 11 ; [0.83341185384256244] ; [1.8151413363294442]
998 ; 64 ; 12 ; 13 ; [0.88571994707313118] ; [1.0455067173550558]
998 ; 64 ; 12 ; 15 ; [0.032375858204331517] ; [1.7461899524233653]
998 ; 64 ; 12 ; 19 ; [2.911616810351954] ; [0.86407522821562743]
998 ; 64 ; 12 ; 20 ; [2.1951911786526783] ; [0.56217772651701781]
998 ; 64 ; 12 ; 25 ; [0.10376335700322543] ; [1.9620620989822202]
998 ; 64 ; 12 ; 27 ; [2.8394322495675937] ; [2.0465049750333262]
998 ; 64 ; 12 ; 28 ; [2.4391168715321698] ; [1.6389509944428129]
998 ; 64 ; 12 ; 29 ; [0.33957467981689732] ; [0.31961635160420304]
998 ; 64 ; 12 ; 34 ; [1.2179608826784711] ; [0.8311804005546749]
998 ; 64 ; 12 ; 35 ; [2.2010670595740467] ; [1.4060956080849356]
998 ; 64 ; 12 ; 37 ; [0.15228325825140751] ; [1.5867367469294327]
998 ; 64 ; 12 ; 38 ; [0.19934012796752534] ; [0.56752316051139529]
998 ; 64 ; 12 ; 39 ; [1.599335589234022] ; [1.5050563587766026]
