# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 27 ; 0 ; 0 ; [0.49327687785940744, 0.29416015039473942, 0.5784048696774825] ; [0.61347254196937639, 0.36098946759257122, 0.1968499144716534]
998 ; 27 ; 1 ; 0 ; [0.41832972895847637, 0.19585627695187902] ; [0.10940905498911833, 0.044688279011595229]
998 ; 27 ; 1 ; 7 ; [0.29856571186436576] ; [1.3852485005690334]
998 ; 27 ; 1 ; 8 ; [0.11578394476681289] ; [0.68463948956018805]
998 ; 27 ; 2 ; 1 ; [0.66765928367241045] ; [0.024105151029937905]
998 ; 27 ; 2 ; 2 ; [0.27554749509752091] ; [0.64335875680004317]
998 ; 27 ; 2 ; 3 ; [0.67309409774950957] ; [-0.013010254804379952]
998 ; 27 ; 2 ; 4 ; [0.010963650903955765] ; [0.0059080108494061166]
998 ; 27 ; 2 ; 6 ; [0.67656763949823762] ; [0.13309278489225757]
998 ; 27 ; 3 ; 6 ; [0.59175964268871739, 0.02000032603524346, 0.06836382454080997] ; [0.49340155305163186, 0.52607143321658911, 0.35877977510148723]
998 ; 27 ; 4 ; 0 ; [0.15427616229009272, 0.22809546593972033, 0.034380874109139002] ; [0.17662953614422339, 0.14289278179912274, 0.23810377560066487]
998 ; 27 ; 5 ; 0 ; [0.54145558032746766] ; [1.8095534886083857]
998 ; 27 ; 5 ; 3 ; [1.5327648972568797] ; [0.96138730245054205]
998 ; 27 ; 5 ; 7 ; [0.10311158116321147] ; [1.4924364655285909]
998 ; 27 ; 5 ; 19 ; [3.2932081882027662] ; [0.89619248730539947]
998 ; 27 ; 5 ; 22 ; [1.800910173769811] ; [0.24129794317690928]
998 ; 27 ; 5 ; 24 ; [0.98575550966602521] ; [1.2984488796234193]
998 ; 27 ; 5 ; 25 ; [1.8308076300806262] ; [2.2512452155017777]
998 ; 27 ; 5 ; 28 ; [1.4520055257805506] ; [1.4469950307555237]
998 ; 27 ; 5 ; 30 ; [1.8653912196850733] ; [2.8100678500496916]
998 ; 27 ; 5 ; 32 ; [0.097435436023500716] ; [0.24956729675750175]
998 ; 27 ; 5 ; 33 ; [0.054292353042414858] ; [0.35967248014494713]
998 ; 27 ; 5 ; 41 ; [1.6335132386983502] ; [1.8177905151855822]
