# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 15 ; 0 ; 3 ; [1.9143186712216536] ; [0.15312913556298102]
998 ; 15 ; 0 ; 5 ; [0.4277264933506415] ; [1.1369304517208012]
998 ; 15 ; 0 ; 23 ; [0.1087276913423806] ; [0.35078798958073165]
998 ; 15 ; 0 ; 24 ; [0.020298905701412621] ; [1.0574477727180642]
998 ; 15 ; 1 ; 0 ; [0.57997586595861927] ; [0.072469351380221231]
998 ; 15 ; 1 ; 7 ; [0.8114732221400498] ; [-0.010376510523115164]
998 ; 15 ; 2 ; 2 ; [0.056458818123214863] ; [0.05223676871603436]
998 ; 15 ; 3 ; 0 ; [0.36451891699994449] ; [1.9658293000732934]
998 ; 15 ; 3 ; 1 ; [0.91214212436975128] ; [0.16428398250289805]
998 ; 15 ; 3 ; 4 ; [2.8910732978802045] ; [0.66934439622796083]
998 ; 15 ; 3 ; 9 ; [1.7838586352826264] ; [2.053411704944307]
998 ; 15 ; 4 ; 1 ; [1.3441023980146818] ; [0.87025955470262795]
998 ; 15 ; 4 ; 2 ; [1.9862000326453217] ; [0.87362820611757419]
998 ; 15 ; 4 ; 9 ; [0.23733498921538332] ; [1.3738578743380234]
998 ; 15 ; 4 ; 17 ; [2.9581255085941334] ; [1.2553028652551521]
998 ; 15 ; 4 ; 19 ; [1.3208280499521041] ; [3.7631259290454744]
998 ; 15 ; 4 ; 21 ; [0.41223204187423501] ; [1.1477545110111356]
998 ; 15 ; 4 ; 24 ; [2.3834374389000743] ; [2.422672781014672]
998 ; 15 ; 4 ; 26 ; [0.24135081223329077] ; [1.1288648455986314]
998 ; 15 ; 4 ; 29 ; [1.6914813268416962] ; [0.22521728032118668]
998 ; 15 ; 5 ; 0 ; [0.47812239140598212] ; [0.72544310396628919]
998 ; 15 ; 5 ; 1 ; [0.12079749341706568] ; [0.55551676177272946]
998 ; 15 ; 5 ; 9 ; [2.8363694035701719] ; [0.72553171256006088]
998 ; 15 ; 5 ; 10 ; [0.13234967117054483] ; [1.4529031184876038]
998 ; 15 ; 5 ; 11 ; [0.020688076192562195] ; [0.48257388722908617]
998 ; 15 ; 6 ; 6 ; [0.38888211558371966] ; [0.42955325712294168]
998 ; 15 ; 6 ; 8 ; [0.40096885965633544] ; [0.43800083048477706]
998 ; 15 ; 7 ; 0 ; [0.2418095961190683, 0.27229665151731136, 0.33529840583789561] ; [0.17493557768049897, 0.68157028271426601, 0.49654690752700514]
998 ; 15 ; 7 ; 2 ; [0.026628394027114744] ; [0.14946573935144464]
998 ; 15 ; 7 ; 7 ; [0.18002423166451267] ; [0.59206263901431166]
998 ; 15 ; 8 ; 0 ; [0.15738805026208014] ; [0.17383157360062571]
