# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
787 ; 2 ; 0 ; 0 ; [0.4331537812070354, 0.012900806356788214] ; [0.33961886896258586, 0.20068867289273395]
787 ; 2 ; 1 ; 4 ; [0.0007935164868363003] ; [0.46539470739032768]
787 ; 2 ; 2 ; 0 ; [0.067841113945040513] ; [0.2760300871220468]
787 ; 2 ; 3 ; 1 ; [0.029114682381555197] ; [-0.00064077351825309764]
787 ; 2 ; 3 ; 4 ; [0.16101717733022952, 0.13683271994484039, 0.1908054322386197] ; [0.29281078091164092, 0.21448299838460588, 0.29440178324437943]
787 ; 2 ; 4 ; 0 ; [0.28773313400559036, 0.18371608215637172, 0.2896426254293909, 0.16511459235070791, 0.11400191629493327] ; [0.28732702472308685, 0.18892196088463201, 0.16273476233398199, 0.082151122442077618, 0.0012737313073354997]
787 ; 2 ; 4 ; 1 ; [-0.26932430685211173] ; [-0.051214527983527151]
787 ; 2 ; 5 ; 0 ; [0.075808949383367449] ; [0.048667867787620958]
787 ; 2 ; 5 ; 2 ; [0.22668134677219257] ; [0.16430360663817759]
787 ; 2 ; 5 ; 3 ; [0.45618113434422436] ; [-0.0012172014788630972]
787 ; 2 ; 5 ; 4 ; [0.20869290125302556] ; [1.0330228150814074]
787 ; 2 ; 6 ; 6 ; [0.34745537678035671] ; [0.49444160614639693]
787 ; 2 ; 7 ; 1 ; [0.66658237354161809] ; [0.14655519749292517]
787 ; 2 ; 7 ; 3 ; [0.38819919288611898] ; [0.84411287363721188]
787 ; 2 ; 7 ; 12 ; [0.93219293847927032] ; [1.0372082355702816]
787 ; 2 ; 8 ; 3 ; [2.0687796388655171] ; [3.3537768262966559]
787 ; 2 ; 8 ; 15 ; [0.38745635437167714] ; [0.19191684352960869]
787 ; 2 ; 9 ; 0 ; [0.64337170073948147] ; [0.44305359695914776]
787 ; 2 ; 9 ; 1 ; [2.7799595737184934, 1.724885934087615] ; [0.61478893088138464, 0.73115857183824562]
787 ; 2 ; 9 ; 2 ; [1.6872812556556069] ; [0.44658959548799726]
787 ; 2 ; 9 ; 8 ; [1.428705571213672] ; [2.9758839655379417]
787 ; 2 ; 9 ; 9 ; [3.7601731558041833] ; [4.1299565331635621]
787 ; 2 ; 9 ; 11 ; [0.16351773217743934] ; [4.0724226931114691]
787 ; 2 ; 10 ; 0 ; [0.014455268572830615, 0.034188694908574034, 0.17567911925475405, 0.1786358948614733] ; [0.19519433359038244, 0.1484949964957108, 0.44704891299285238, 0.46296488218586707]
787 ; 2 ; 11 ; 0 ; [0.040346053140042359] ; [0.073541401389925293]
787 ; 2 ; 11 ; 3 ; [0.03663367578001063] ; [0.4209081250984083]
787 ; 2 ; 12 ; 0 ; [0.38382434411092137, -0.067450035939176353, -0.041519400380102482] ; [0.85995422685426337, 0.21838860167258092, 0.34823690718809164]
787 ; 2 ; 12 ; 1 ; [0.021861958899404361, 0.15865589428877139] ; [0.17377553017549688, 0.37419139250422317]
787 ; 2 ; 13 ; 8 ; [0.77973480395045847] ; [0.67923625083119477]
787 ; 2 ; 13 ; 23 ; [0.086234654217411236] ; [1.5920308419314695]
787 ; 2 ; 13 ; 25 ; [2.4375916961523028] ; [1.1254739373434079]
787 ; 2 ; 13 ; 26 ; [0.033171646945835291] ; [1.7815357729411447]
787 ; 2 ; 13 ; 27 ; [0.027424577848478751] ; [0.91981454434073573]
787 ; 2 ; 14 ; 0 ; [0.015448282445958396, -0.034615921083011862] ; [-0.024346838318695562, -0.0089015215437840394]
787 ; 2 ; 14 ; 1 ; [0.18111733426247659] ; [-0.025573833384113547]
787 ; 2 ; 14 ; 2 ; [0.12798365816250687] ; [0.0041035602646851002]
787 ; 2 ; 14 ; 7 ; [0.88309591165274093] ; [0.25635643578324818]
787 ; 2 ; 15 ; 2 ; [0.25499030996839145] ; [0.40744040869998749]
787 ; 2 ; 16 ; 0 ; [0.51826956078019482] ; [0.12975940199634986]
787 ; 2 ; 17 ; 0 ; [0.171534014695118, 0.14318302822592377] ; [0.3151124543540596, 0.57487447406572001]
787 ; 2 ; 17 ; 1 ; [0.15842095853530988, 0.16082215697114507] ; [0.019963122855645932, 0.18388994670995176]
787 ; 2 ; 17 ; 5 ; [0.70031852970334019] ; [0.56347251212662808]
787 ; 2 ; 18 ; 0 ; [-0.0050344215645286503, 0.088526603730656239, -0.00028350889049870919] ; [0.18284549484154899, 0.35429846511247065, 0.38723085298314941]
787 ; 2 ; 19 ; 0 ; [0.23704980207564058, 0.29934318472407023, 0.39695326309050255] ; [0.13634781197986884, 0.17802544861525668, 0.15812878761830401]
787 ; 2 ; 20 ; 0 ; [0.073987255064089999, 0.089833874248085213] ; [0.35834249737595641, 0.24661592204046576]
787 ; 2 ; 20 ; 1 ; [0.47337267337961342] ; [0.044292629874548912]
787 ; 2 ; 21 ; 0 ; [1.0333753502575505] ; [0.087955396027562194]
787 ; 2 ; 21 ; 1 ; [-0.13017754153676156] ; [0.18165976017260066]
787 ; 2 ; 21 ; 2 ; [0.56682316716281389] ; [1.416447370035492]
787 ; 2 ; 21 ; 3 ; [0.69383662603541374] ; [0.0047266333862051443]
787 ; 2 ; 21 ; 6 ; [3.3551371848816491] ; [2.1967145095366729]
787 ; 2 ; 21 ; 9 ; [1.4191257887516566] ; [1.0340690295994912]
787 ; 2 ; 22 ; 0 ; [1.1320174227440625] ; [5.2889992990745531]
787 ; 2 ; 23 ; 0 ; [0.78248252610509006] ; [0.62293009638338381]
787 ; 2 ; 23 ; 2 ; [0.37703829969147129] ; [1.2937771325618546]
787 ; 2 ; 23 ; 5 ; [1.0061532497718078] ; [0.19297152340960275]
787 ; 2 ; 23 ; 6 ; [0.31450757302112953] ; [0.12611138744351727]
787 ; 2 ; 23 ; 7 ; [0.34887473134237773] ; [0.014051635941620849]
787 ; 2 ; 24 ; 0 ; [2.1073894757362597, 1.5055876908711285, 0.16865552743750786, 0.105967093656126] ; [0.85602305230869669, 0.66351859772718602, 0.24175577865865105, 0.185815494017359]
787 ; 2 ; 25 ; 0 ; [0.36527671721987998] ; [0.85444383492075204]
787 ; 2 ; 25 ; 1 ; [1.0599719954111608] ; [0.15597645789943224]
787 ; 2 ; 25 ; 4 ; [1.0071730025954502] ; [0.94260887741829535]
787 ; 2 ; 25 ; 5 ; [1.7202287816608128] ; [0.87397892161799606]
787 ; 2 ; 25 ; 7 ; [1.0751786033701747] ; [1.1335014643987293]
787 ; 2 ; 25 ; 8 ; [1.4443514045001093] ; [1.8111289266886226]
787 ; 2 ; 25 ; 9 ; [4.6953086883473185] ; [0.26279667475009305]
787 ; 2 ; 25 ; 11 ; [1.6980970433994129] ; [1.4719569119292457]
787 ; 2 ; 25 ; 13 ; [2.3359148909316572] ; [3.2108905258764473]
787 ; 2 ; 25 ; 18 ; [2.6167721124693211] ; [7.868173574057856]
787 ; 2 ; 25 ; 19 ; [1.3285623379977174] ; [0.98124774455377994]
787 ; 2 ; 25 ; 20 ; [2.4231157087424653] ; [1.1016873601112354]
787 ; 2 ; 25 ; 21 ; [2.1427874661833735] ; [0.53891585125030461]
787 ; 2 ; 25 ; 24 ; [1.0477106836892878] ; [12.699874034566676]
787 ; 2 ; 26 ; 0 ; [0.33561218797737463] ; [0.41281040346666992]
787 ; 2 ; 26 ; 1 ; [2.685998872709499] ; [0.32604879441533374]
787 ; 2 ; 26 ; 2 ; [3.7977642458019005] ; [0.55957560248371885]
787 ; 2 ; 26 ; 3 ; [0.90396409911502507] ; [0.761207094929235]
787 ; 2 ; 27 ; 0 ; [-0.026949766109244187] ; [0.0050405263728591134]
787 ; 2 ; 27 ; 1 ; [0.12131747037301652] ; [0.40861718337390046]
787 ; 2 ; 27 ; 2 ; [1.3503395700569096] ; [1.7174545516696087]
787 ; 2 ; 28 ; 0 ; [0.032874665802439425] ; [0.060729120210828116]
787 ; 2 ; 28 ; 1 ; [0.68451255404029654] ; [-0.021000862476862555]
787 ; 2 ; 28 ; 2 ; [0.54495876997887938] ; [0.38577891815944754]
787 ; 2 ; 28 ; 4 ; [0.00061847353993676969] ; [0.11893864242410589]
787 ; 2 ; 28 ; 5 ; [0.61840438599432934] ; [0.066547906822253519]
787 ; 2 ; 29 ; 0 ; [0.13589263271392654, 0.17595420482813709, 0.093245495190750552] ; [0.41012174942301588, 0.36457666094242736, 0.13713324012230488]
787 ; 2 ; 29 ; 1 ; [0.39477108966702634] ; [0.028849886505311576]
787 ; 2 ; 30 ; 0 ; [0.43665482673946077, 2.4761737413763631, 2.0642378701128856] ; [0.29577351060258106, 0.17022269264501461, 0.45684459688532103]
787 ; 2 ; 30 ; 1 ; [0.0025094087938331401] ; [0.97645273904236563]
787 ; 2 ; 30 ; 2 ; [0.0006067332721078454] ; [0.25346048243670044]
787 ; 2 ; 31 ; 0 ; [0.059103946917163697] ; [0.21775761142722305]
787 ; 2 ; 31 ; 1 ; [0.16840435473237381] ; [-0.045534851169921349]
787 ; 2 ; 32 ; 0 ; [0.25575306254334723] ; [0.41068255530471953]
787 ; 2 ; 32 ; 1 ; [0.12424021922449463] ; [0.53354080258068315]
787 ; 2 ; 32 ; 2 ; [0.059798673188863706] ; [2.5389522687752715]
787 ; 2 ; 32 ; 6 ; [1.2369550912750118] ; [1.3882770129323105]
787 ; 2 ; 32 ; 11 ; [1.2816005243193358] ; [1.349163267619693]
787 ; 2 ; 33 ; 0 ; [0.5225539358268263] ; [0.4527797404730286]
787 ; 2 ; 33 ; 1 ; [1.23773216303966] ; [0.23846948241647972]
787 ; 2 ; 33 ; 2 ; [0.42737193197337381] ; [0.47641302454803092]
787 ; 2 ; 33 ; 3 ; [0.37236673288508104] ; [0.3236085233953897]
787 ; 2 ; 33 ; 4 ; [0.15278876721617368] ; [0.32197768652098857]
787 ; 2 ; 33 ; 6 ; [2.2681329516723538] ; [0.9884120428862837]
787 ; 2 ; 33 ; 7 ; [0.17183341410671818] ; [0.24526676647665885]
787 ; 2 ; 33 ; 8 ; [0.15116333233079712] ; [0.30882036517756273]
787 ; 2 ; 33 ; 17 ; [2.7478037495362475] ; [0.29262346131246791]
787 ; 2 ; 33 ; 22 ; [0.84628804482297026] ; [0.17928974793238436]
787 ; 2 ; 33 ; 26 ; [1.5353364707238699] ; [0.48943512940740758]
787 ; 2 ; 34 ; 0 ; [0.20273600843779221, 0.00086680070586584563] ; [0.35942641956661914, -0.066061119599443455]
787 ; 2 ; 34 ; 1 ; [0.7937744766810193] ; [-0.0057737001360813837]
787 ; 2 ; 35 ; 0 ; [0.021746106917237079] ; [0.0096188141813812276]
787 ; 2 ; 35 ; 1 ; [0.043970105981939851] ; [0.15727296888560274]
787 ; 2 ; 35 ; 4 ; [0.030132049693342981] ; [7.6987273112160644]
787 ; 2 ; 37 ; 0 ; [0.87150031203391198] ; [0.46518942831898336]
787 ; 2 ; 38 ; 1 ; [0.85064467272969213] ; [0.14165288692459405]
