# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 94 ; 0 ; 0 ; [0.17260929126481367, 0.23692515051763474, 0.35077314660659276, 0.28059985658132447, 0.51799567836156768] ; [0.04822743130434106, 0.21181081505144161, 0.16668766636012308, 0.15833624994137033, 0.22258666964301624]
840 ; 94 ; 1 ; 0 ; [0.060304619363123486, 0.34568343679692737, 0.3184883634154646, 0.2343004143176568, 0.096289992450461548] ; [0.096008980945861092, 0.22019126962204089, 0.38899727096550857, 0.34115106739948514, 0.42898473895980294]
840 ; 94 ; 2 ; 0 ; [0.28546826689700128] ; [0.38522651420898313]
840 ; 94 ; 2 ; 3 ; [0.59461770381827084] ; [0.1654853151423416]
840 ; 94 ; 2 ; 4 ; [0.73509187104916174] ; [0.040508288009230509]
840 ; 94 ; 3 ; 0 ; [0.020907318118286784] ; [0.92892861304228369]
840 ; 94 ; 4 ; 0 ; [0.27294297572677384, 0.19054729391194178, 0.10819170868882405, 0.12973896519440667] ; [0.2983812850638331, 0.371808534601336, 0.1842503663843284, 0.014131265370131296]
840 ; 94 ; 5 ; 0 ; [0.2826765567769412] ; [0.22525400938347337]
840 ; 94 ; 5 ; 3 ; [0.42799850275010304] ; [-0.0076742324313650422]
840 ; 94 ; 6 ; 0 ; [0.55484779611467028] ; [4.5919244752213801]
840 ; 94 ; 6 ; 2 ; [0.15368869660269233] ; [0.16765874323720303]
840 ; 94 ; 6 ; 4 ; [3.3928504381407882] ; [0.55122379748972039]
840 ; 94 ; 6 ; 5 ; [0.7826490456449221] ; [2.1859832764138969]
840 ; 94 ; 7 ; 8 ; [0.35068307568079304] ; [0.52987798275156839]
840 ; 94 ; 7 ; 9 ; [0.22028111318193022] ; [0.2425048883266879]
840 ; 94 ; 7 ; 21 ; [0.024294663192703386] ; [-0.17648177890179584]
840 ; 94 ; 7 ; 22 ; [0.025970937737979295] ; [0.4092187213219925]
840 ; 94 ; 8 ; 0 ; [0.70409130009171017] ; [0.61125546909720052]
840 ; 94 ; 8 ; 1 ; [0.47899425226682352] ; [2.8893764140939555]
840 ; 94 ; 8 ; 4 ; [0.47554339214244751] ; [2.056299972839374]
840 ; 94 ; 8 ; 8 ; [1.1632642146604397] ; [3.3374230990742806]
840 ; 94 ; 9 ; 0 ; [0.40320782003816596] ; [1.0866148258131076]
840 ; 94 ; 10 ; 0 ; [0.059314787937722317, 0.060801266442794759] ; [0.34958162268518134, 0.20550003183903368]
840 ; 94 ; 10 ; 1 ; [0.18170398367873089] ; [0.27829112001189915]
840 ; 94 ; 10 ; 2 ; [0.0010669794795045617] ; [0.0066155810909010425]
840 ; 94 ; 10 ; 3 ; [0.098189544447621221] ; [0.0042842236407550655]
840 ; 94 ; 10 ; 4 ; [0.96613230173938924] ; [1.4476337261630576]
840 ; 94 ; 11 ; 0 ; [0.18094648032901109] ; [0.1923589510918281]
840 ; 94 ; 11 ; 1 ; [0.17430795068189045] ; [0.18094454098045629]
840 ; 94 ; 12 ; 0 ; [0.090533131969349367, 0.045314791528914308, 0.15797640144177572] ; [0.25167503404746472, 0.15735224723408006, 0.14194563294517759]
840 ; 94 ; 13 ; 0 ; [3.3352328250940908] ; [0.32430725018622425]
840 ; 94 ; 13 ; 1 ; [0.79093612556821702] ; [1.2123623478200083]
840 ; 94 ; 13 ; 3 ; [0.045345685689080963] ; [2.3356560409134115]
840 ; 94 ; 13 ; 5 ; [0.50565059796257639] ; [0.39085968337505961]
840 ; 94 ; 14 ; 0 ; [0.17042249901156384, -0.013417593071844728] ; [0.27821062553183179, 0.067653112351096764]
840 ; 94 ; 15 ; 0 ; [1.0090699414700484] ; [0.58769891208717562]
840 ; 94 ; 15 ; 1 ; [1.7776051058051445] ; [1.2949587378412668]
840 ; 94 ; 15 ; 2 ; [0.36934464624881364] ; [2.3246190162868676]
840 ; 94 ; 17 ; 0 ; [0.82758842940120603] ; [0.80324318914331783]
840 ; 94 ; 17 ; 1 ; [0.62608778179653013] ; [0.61198200470967157]
840 ; 94 ; 18 ; 0 ; [1.2527836254510449] ; [0.97856405098866051]
840 ; 94 ; 19 ; 0 ; [0.25885826297268305, 0.18639162844079801, 0.15089556717887956, 0.095534915257588907] ; [0.27474726412311251, 0.2243723099086839, 0.17194145345053535, 0.085532008495579098]
840 ; 94 ; 19 ; 1 ; [-1.3116709083275593] ; [467.68659839102548]
840 ; 94 ; 20 ; 0 ; [0.9160220706937644] ; [1.7826847193045177]
840 ; 94 ; 20 ; 1 ; [0.23795690486778107] ; [0.12080067753891689]
840 ; 94 ; 21 ; 0 ; [0.11686134447132396, 0.13279020185785032, 0.65922474279839605] ; [0.26541734809172512, 0.16757317010807268, 0.20240018872340818]
840 ; 94 ; 21 ; 1 ; [0.057317146148091219] ; [0.45722280497902823]
840 ; 94 ; 22 ; 0 ; [0.058974157607459943, 0.0035716244659689694, 0.085138326740950288] ; [0.27102763556765314, 0.20681423646318561, 0.099109342197379435]
840 ; 94 ; 23 ; 0 ; [0.18386736514524313, 0.22201717690973247, 0.1787137600249431] ; [0.21708069407082481, 0.20093424157815937, 0.10414108885298495]
840 ; 94 ; 23 ; 2 ; [0.20524050727012866] ; [0.019850717497451716]
840 ; 94 ; 24 ; 1 ; [0.034856909036090157] ; [0.01313742544519227]
840 ; 94 ; 25 ; 1 ; [1.1427371843699075] ; [1.5974137342896595]
840 ; 94 ; 26 ; 0 ; [0.35404572616872387, 0.12914190999383227] ; [2.0222045087870706, 17.995507626809964]
840 ; 94 ; 26 ; 4 ; [0.22327215314058504] ; [2.4154383112501625]
840 ; 94 ; 26 ; 5 ; [0.27829114125768828] ; [6.3957526928436854]
840 ; 94 ; 26 ; 6 ; [0.12177265106395908] ; [3.0171586723036641]
840 ; 94 ; 26 ; 9 ; [0.21961913792969645] ; [1.0932783052855382]
840 ; 94 ; 27 ; 0 ; [0.027886777020919344, 0.083181984106711154, 0.081053883916462247] ; [0.23819025699600099, 0.16811275403698347, 0.087679954657175055]
840 ; 94 ; 28 ; 0 ; [0.4986144304133322, 0.0076747382778394029] ; [0.79220862813194581, 0.12086698134240791]
840 ; 94 ; 28 ; 1 ; [1.2166552126621177] ; [1.1292889506350738]
840 ; 94 ; 28 ; 2 ; [0.45317018026287265] ; [0.80403448544279521]
840 ; 94 ; 28 ; 3 ; [0.69050467535650994] ; [1.3881838889531679]
840 ; 94 ; 28 ; 8 ; [0.46047020992205961] ; [1.155832545786478]
840 ; 94 ; 29 ; 2 ; [0.067005518558126601] ; [2.1872659717713416]
840 ; 94 ; 29 ; 4 ; [0.52188907457076428] ; [-0.27971885596722951]
840 ; 94 ; 30 ; 0 ; [0.8407401796679459] ; [0.90776536275306063]
840 ; 94 ; 30 ; 7 ; [1.8824635575841353] ; [0.33338133354847888]
840 ; 94 ; 30 ; 8 ; [0.39892317260816157] ; [1.4979856707430819]
840 ; 94 ; 30 ; 10 ; [1.419436320640509] ; [6.7778747039003546]
840 ; 94 ; 30 ; 12 ; [0.42424353410158366] ; [0.8666119553098568]
840 ; 94 ; 30 ; 13 ; [1.4952221058571002] ; [0.61337850635212066]
840 ; 94 ; 30 ; 24 ; [0.98422612616301697] ; [1.0813699211428063]
840 ; 94 ; 30 ; 25 ; [0.71643760589578076] ; [1.432854189668834]
840 ; 94 ; 30 ; 26 ; [0.73148220729622038] ; [1.4033085393840194]
840 ; 94 ; 31 ; 1 ; [0.15149383979433245] ; [1.207226892889105]
840 ; 94 ; 32 ; 0 ; [1.0864896026115618, 3.531810271977843] ; [-0.0085054213241666527, -0.006651482392663219]
840 ; 94 ; 32 ; 1 ; [1.2934974476570689] ; [1.2430961201896966]
