# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 54 ; 0 ; 0 ; [0.12979358813547942, 0.15553756632402885, 0.10472752865587759] ; [0.37795095381182897, 0.16784317774482935, 0.047650991441768292]
840 ; 54 ; 0 ; 1 ; [0.0028505791282945588] ; [0.12030743123416662]
840 ; 54 ; 1 ; 0 ; [0.16926279332567812, 0.087419910733606346, 0.37732296083685762, 0.025386865518379091] ; [0.27334661043778569, 0.46110862558504867, 0.8011149793592709, 0.25360182968814954]
840 ; 54 ; 1 ; 1 ; [0.04792990356202538] ; [0.086527246296253343]
840 ; 54 ; 1 ; 3 ; [0.091456339594495423] ; [1.5448747260871878]
840 ; 54 ; 2 ; 0 ; [2.4827391149028202] ; [0.40878338319096053]
840 ; 54 ; 2 ; 1 ; [1.356863517622515] ; [2.2103707146708444]
840 ; 54 ; 2 ; 2 ; [0.74348686061105729] ; [0.11612890673364584]
840 ; 54 ; 2 ; 3 ; [1.3305833850029556] ; [0.76363899116831191]
840 ; 54 ; 2 ; 4 ; [2.1085851596273208] ; [0.034233141655887915]
840 ; 54 ; 2 ; 5 ; [0.029211578540326175] ; [1.112573730125735]
840 ; 54 ; 2 ; 6 ; [0.81676850656644628] ; [0.12564915132832596]
840 ; 54 ; 2 ; 7 ; [1.3630718002773603] ; [1.8685491171749264]
840 ; 54 ; 2 ; 17 ; [0.11810845531474878] ; [1.7128490211437324]
840 ; 54 ; 2 ; 18 ; [0.034598762180375914] ; [1.3862500182820929]
840 ; 54 ; 2 ; 24 ; [0.52256231697030708] ; [1.4437697574266435]
840 ; 54 ; 2 ; 28 ; [1.300019081528702] ; [1.1694138602947537]
840 ; 54 ; 3 ; 0 ; [0.24561706365365382, 0.1283606765852707, 0.16193287369330767, 0.15317119086465222, 0.19463760950288811] ; [0.18835108644974458, 0.19164199040362118, 0.17611994074147677, 0.32574101290683188, 0.1780985774090072]
840 ; 54 ; 4 ; 0 ; [0.17277944402216969, 0.29370014612137052, 0.34993853927931995, 0.2636026578700259] ; [0.16960300992777183, 0.30341349333891904, 0.17904778381191072, 0.34296342985426603]
840 ; 54 ; 4 ; 2 ; [0.10882901212120309] ; [0.0060719132345189424]
840 ; 54 ; 5 ; 0 ; [1.5078669898561357] ; [0.81981032087693395]
840 ; 54 ; 5 ; 2 ; [0.70108924987960064] ; [0.33620531753951638]
840 ; 54 ; 5 ; 3 ; [0.23614569961491311] ; [0.0067801623037710397]
840 ; 54 ; 5 ; 4 ; [0.45257675545376591] ; [0.69569692106599013]
840 ; 54 ; 5 ; 8 ; [0.2720341148668462] ; [0.31885225552627922]
840 ; 54 ; 5 ; 9 ; [1.409793227606627] ; [0.75284746103189459]
840 ; 54 ; 5 ; 11 ; [1.4126651741688678] ; [1.5516119968318389]
840 ; 54 ; 5 ; 12 ; [2.0111957519974117] ; [1.1585486881941527]
840 ; 54 ; 5 ; 13 ; [0.42344375872663492] ; [0.8568906665483268]
840 ; 54 ; 6 ; 0 ; [0.57965627099774386] ; [0.96819801574682585]
840 ; 54 ; 6 ; 3 ; [0.25332474314225278] ; [0.30145328785587405]
840 ; 54 ; 7 ; 0 ; [0.67809283091785566] ; [0.78096680354858283]
840 ; 54 ; 7 ; 1 ; [2.2065473823375998] ; [0.21016420317149084]
840 ; 54 ; 7 ; 4 ; [2.1036341601968984] ; [0.55929900560935109]
840 ; 54 ; 7 ; 6 ; [-0.21552679071807943] ; [1.3235982147995109]
840 ; 54 ; 7 ; 7 ; [1.4409957498117392] ; [0.63127556873431045]
