# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 78 ; 0 ; 0 ; [1.0960522783587487] ; [0.18848097797541841]
840 ; 78 ; 1 ; 1 ; [2.3570556587535179] ; [1.8118580400196296]
840 ; 78 ; 1 ; 3 ; [0.96326578555201203] ; [1.5386646613955042]
840 ; 78 ; 1 ; 4 ; [0.14318795626081879] ; [1.2193419386783999]
840 ; 78 ; 2 ; 0 ; [0.17100801358497705] ; [0.45356896035600053]
840 ; 78 ; 2 ; 1 ; [0.5345452670355505] ; [0.69833352801524218]
840 ; 78 ; 2 ; 4 ; [0.38635743000694006] ; [0.3099136349672646]
840 ; 78 ; 3 ; 0 ; [-0.0070241408671925243, 0.042426324654211145, 0.14366884564736571] ; [0.15728127872521244, 0.21077105583680536, 0.18176127511878529]
840 ; 78 ; 4 ; 0 ; [0.01137528329289119, -0.00043888817777927661] ; [0.46470551791208492, 1.4467022533315992]
840 ; 78 ; 4 ; 1 ; [0.49593349505617418] ; [0.27935377785599325]
840 ; 78 ; 4 ; 2 ; [0.41747679430253964] ; [0.91739184015653985]
840 ; 78 ; 4 ; 3 ; [0.090901747301839683] ; [0.30818728387789446]
840 ; 78 ; 4 ; 6 ; [0.59707702287012332] ; [0.11839568178159275]
840 ; 78 ; 4 ; 9 ; [1.9041047215482421] ; [0.7771114949245792]
840 ; 78 ; 5 ; 0 ; [0.25451302656163516, 0.24801108096191171, 0.3477418631580852, 0.16310958433978642] ; [0.12429076249748962, 0.13326205618383508, 0.27067935135297932, 0.37625541500290771]
840 ; 78 ; 6 ; 0 ; [0.47950371300604067, 0.058186525272167874] ; [0.028320396346155598, 0.037984352068841508]
840 ; 78 ; 6 ; 1 ; [0.68358356946732934] ; [0.41567938119898035]
840 ; 78 ; 7 ; 0 ; [0.24260536602881722, 0.36294151146275055, 0.68591124944350679] ; [0.18678801829284719, 0.32790730074505253, 0.11988631114738175]
840 ; 78 ; 7 ; 1 ; [0.0033619121155257455] ; [0.1052434492692141]
840 ; 78 ; 8 ; 0 ; [0.12444022521912818] ; [0.27089143282878109]
840 ; 78 ; 8 ; 1 ; [0.13818445154761838] ; [0.7209830286271256]
840 ; 78 ; 8 ; 3 ; [0.029458770826842482] ; [0.36975037552782103]
840 ; 78 ; 8 ; 7 ; [0.054111666199785274] ; [0.0078899305091511586]
840 ; 78 ; 9 ; 0 ; [0.045327067461211283, 0.036899725902258367] ; [0.39650759292310822, 0.038234244112570197]
840 ; 78 ; 9 ; 1 ; [0.19188544914344668] ; [0.61530550428700215]
840 ; 78 ; 10 ; 0 ; [0.6177817752887611, 0.088993216575295089] ; [0.1477798250216994, 0.067757474976709295]
840 ; 78 ; 10 ; 1 ; [0.6721044703342377] ; [1.0878393505139752]
840 ; 78 ; 10 ; 2 ; [2.0531723520049412] ; [1.1362222612819937]
840 ; 78 ; 10 ; 3 ; [2.4766944497907328] ; [1.1516085569069185]
840 ; 78 ; 11 ; 0 ; [0.91426095105822636] ; [0.090905499535329268]
840 ; 78 ; 11 ; 2 ; [1.3007695319559769] ; [1.3828073522560245]
840 ; 78 ; 11 ; 3 ; [1.331294828816268] ; [1.2907413224950683]
840 ; 78 ; 11 ; 5 ; [1.1967149255792993] ; [6.2141598024202223]
840 ; 78 ; 11 ; 6 ; [2.1554714355903597] ; [1.8010839003167709]
840 ; 78 ; 11 ; 8 ; [0.44774080277359241] ; [0.49447201766605181]
840 ; 78 ; 11 ; 9 ; [1.2834440565281755] ; [2.2046730388433744]
840 ; 78 ; 11 ; 15 ; [2.5473952430982365] ; [1.5057876969146948]
840 ; 78 ; 11 ; 16 ; [0.36283935665223477] ; [1.3606187024900427]
840 ; 78 ; 11 ; 21 ; [2.0445077338943114] ; [1.3448352403336461]
840 ; 78 ; 11 ; 27 ; [1.2664132550372937] ; [3.91536925438003]
840 ; 78 ; 11 ; 29 ; [2.2925375502219203] ; [2.0609198354114127]
840 ; 78 ; 11 ; 30 ; [2.3644394858130222] ; [2.7849857546808638]
840 ; 78 ; 11 ; 31 ; [1.5835874756898392] ; [2.2906278884061417]
840 ; 78 ; 11 ; 32 ; [0.71436765208333441] ; [3.0426077567749252]
840 ; 78 ; 12 ; 0 ; [0.19682739739368618, 0.22938836543093163, 0.39764273086462637] ; [0.18294634118590808, 0.2282823404356096, 0.12374990325282818]
840 ; 78 ; 13 ; 0 ; [0.26727363526267311, 0.10527648996424264] ; [0.53256133076395995, 0.42050965293031051]
840 ; 78 ; 13 ; 1 ; [3.0896357340505332] ; [0.18349368925117673]
840 ; 78 ; 13 ; 2 ; [13.64148131982309] ; [0.11185786697948145]
840 ; 78 ; 14 ; 0 ; [1.0780196220840566] ; [0.086009169677545044]
840 ; 78 ; 14 ; 1 ; [2.1809593459470484] ; [3.3339218379513404]
840 ; 78 ; 14 ; 3 ; [1.7123808429864675] ; [1.2863224095445727]
840 ; 78 ; 14 ; 4 ; [4.2160359523579185] ; [3.2879222236300989]
840 ; 78 ; 14 ; 5 ; [1.9374214680549899] ; [2.1039723442628002]
