# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 2 ; 0 ; 0 ; [0.047144220558449079] ; [0.096416377491535754]
840 ; 2 ; 0 ; 1 ; [1.9379722258394991] ; [0.88052422187784718]
840 ; 2 ; 1 ; 5 ; [0.67155918663464653] ; [1.6587171475927109]
840 ; 2 ; 1 ; 6 ; [4.5096498527092708, 2.329038838127782] ; [1.609171850775887, 2.1902586409788238]
840 ; 2 ; 1 ; 7 ; [1.9865827773781715] ; [1.2470017485821816]
840 ; 2 ; 1 ; 8 ; [1.5995891366191015] ; [1.9112844221304375]
840 ; 2 ; 1 ; 9 ; [2.2258588645944242] ; [1.1158770486222103]
840 ; 2 ; 1 ; 11 ; [9.914405889088842] ; [3.4935560727460877]
840 ; 2 ; 1 ; 13 ; [1.8440609110180011] ; [0.72271126742274727]
840 ; 2 ; 1 ; 17 ; [1.8933744795850953] ; [1.6168418309184849]
840 ; 2 ; 1 ; 22 ; [2.4825146834045433] ; [2.1986711026761729]
840 ; 2 ; 1 ; 25 ; [2.840313355136272] ; [2.6660219861829129]
840 ; 2 ; 1 ; 27 ; [2.1984830546356804] ; [1.9041389402661308]
840 ; 2 ; 1 ; 28 ; [2.4882047787905157] ; [0.77429791968731243]
840 ; 2 ; 1 ; 29 ; [1.284299877684516] ; [0.70407425104628418]
840 ; 2 ; 1 ; 30 ; [1.1241747650104128] ; [0.26046666991289863]
840 ; 2 ; 1 ; 34 ; [0.82399702667981434] ; [1.1206449984563378]
840 ; 2 ; 2 ; 0 ; [0.16363584136577036, 0.15255372260260694] ; [0.35444743141896323, 0.16272884462254178]
840 ; 2 ; 2 ; 1 ; [1.020024025544539] ; [0.23886893049193592]
840 ; 2 ; 3 ; 0 ; [0.062612908931844125] ; [1.5241964236930079]
840 ; 2 ; 3 ; 1 ; [0.97723246288203502] ; [1.6765369454239227]
840 ; 2 ; 4 ; 0 ; [0.13639716549798572, 0.069240405240329567] ; [0.020368267780403373, 0.25932884325835337]
840 ; 2 ; 4 ; 1 ; [0.12692387505305189] ; [0.14292582116319236]
840 ; 2 ; 4 ; 3 ; [0.093115974854035041] ; [0.27807176269444489]
840 ; 2 ; 5 ; 0 ; [0.17479586374970743, 0.288956213917407] ; [0.20751788633211865, 0.18012288523912784]
840 ; 2 ; 5 ; 1 ; [0.039180590493391274, 1.7013650327372924] ; [0.078764231992272726, 0.26462752771410536]
840 ; 2 ; 5 ; 2 ; [0.1529115542104372] ; [-0.0019535790607100698]
840 ; 2 ; 5 ; 3 ; [-0.047146032875278493] ; [0.18210270308504736]
840 ; 2 ; 5 ; 4 ; [0.38399435661342218] ; [0.637045461404672]
840 ; 2 ; 5 ; 5 ; [0.2799505695255825] ; [0.38201991216003217]
840 ; 2 ; 5 ; 6 ; [0.41769411813403423] ; [1.793570526076439]
840 ; 2 ; 5 ; 7 ; [1.1538924128322317] ; [0.33271881197583281]
840 ; 2 ; 5 ; 9 ; [0.87463975923195514] ; [0.55077322268854467]
840 ; 2 ; 5 ; 11 ; [1.6975411827836902] ; [2.1721104582683686]
840 ; 2 ; 5 ; 12 ; [1.6550988260118127] ; [1.2277328662570408]
840 ; 2 ; 6 ; 0 ; [0.054359311351188495, 0.020367845099429419, -0.0034040692801465787] ; [0.26883131356309897, 0.16952653839656903, 0.13298324130359715]
840 ; 2 ; 7 ; 0 ; [2.1947258946555399] ; [0.34136963658713965]
840 ; 2 ; 7 ; 1 ; [1.3431516203434315] ; [0.56783874391911038]
840 ; 2 ; 7 ; 9 ; [0.48441575888045058] ; [0.28418147818195383]
840 ; 2 ; 7 ; 10 ; [2.7191829911955931] ; [0.56114839922429705]
840 ; 2 ; 7 ; 12 ; [1.9598514906203444] ; [1.8509082066847231]
840 ; 2 ; 7 ; 14 ; [0.3453492613337274] ; [1.4813279138999036]
840 ; 2 ; 7 ; 15 ; [1.5445099873670027] ; [0.58262748321917446]
840 ; 2 ; 7 ; 16 ; [0.12562159077149312] ; [0.64466681711702001]
840 ; 2 ; 7 ; 21 ; [1.2311014979155648] ; [1.1610214903996483]
840 ; 2 ; 7 ; 30 ; [0.49751136825233216] ; [1.814568762422756]
840 ; 2 ; 7 ; 31 ; [0.90181920785665237] ; [0.82810972670371774]
840 ; 2 ; 8 ; 0 ; [0.38358007693629476] ; [0.73198372319534433]
840 ; 2 ; 8 ; 2 ; [0.44655945433640787] ; [-0.035538365631091133]
