# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 36 ; 0 ; 0 ; [0.32784123987742242] ; [0.14123385507596578]
840 ; 36 ; 0 ; 1 ; [1.6062877257021377] ; [0.63983875296709825]
840 ; 36 ; 0 ; 2 ; [0.38236934942512812] ; [0.26011135623761578]
840 ; 36 ; 0 ; 3 ; [1.2583302664141796] ; [0.0041748361864513278]
840 ; 36 ; 0 ; 8 ; [0.45686009308291115] ; [0.49271012213615289]
840 ; 36 ; 0 ; 10 ; [2.2340253816010547] ; [0.36118516232156272]
840 ; 36 ; 1 ; 0 ; [-0.00818665740313132, -0.010165258546133229, -0.0067650879362846509] ; [0.22472877531036944, 0.20464052792153906, 0.17817944375737882]
840 ; 36 ; 3 ; 0 ; [-0.011254075666610658, 0.028877584043676484] ; [0.18283569343185177, 0.092375318120328856]
840 ; 36 ; 3 ; 1 ; [0.034831699939794285] ; [0.081462813118925309]
840 ; 36 ; 4 ; 0 ; [0.4576672106309731, 0.25298959833164475, 0.15123743554097127] ; [0.32775376350843477, 0.43784298063113214, 0.22800111651089422]
840 ; 36 ; 4 ; 3 ; [0.51032318334051108, 0.59784095880898758] ; [0.25098887728990288, 0.021163032892146032]
840 ; 36 ; 5 ; 0 ; [0.042191150082698629, 0.029347826892041608, 0.012384365897507179, 0.01993439056689052, -0.01449693414016333] ; [0.12860829705566187, 0.34725132207136744, 0.27286035795219332, 0.13711458247096195, 0.28152331669470854]
840 ; 36 ; 6 ; 4 ; [1.9525920745723864] ; [0.70016619444599759]
840 ; 36 ; 7 ; 0 ; [0.16310662541226645, -0.0042489584679129512] ; [0.52526773196457632, 0.12177456810010703]
840 ; 36 ; 7 ; 1 ; [0.085467465226329281] ; [2.0214488212176471]
840 ; 36 ; 8 ; 0 ; [1.3632081111685839] ; [0.24171718386728971]
840 ; 36 ; 8 ; 1 ; [0.047049140793017481] ; [-0.0082050041376133722]
840 ; 36 ; 8 ; 2 ; [1.5483229242235739] ; [0.025117260493096576]
840 ; 36 ; 9 ; 0 ; [0.41969574106135943] ; [0.3940950792204454]
840 ; 36 ; 10 ; 0 ; [0.18424324971966491, 0.12954605514801243] ; [0.32714538743780691, 0.24138160879677617]
840 ; 36 ; 11 ; 0 ; [0.44952954381409177] ; [0.15603365734781979]
840 ; 36 ; 11 ; 1 ; [0.90168625774317668] ; [0.54240221827451196]
840 ; 36 ; 12 ; 1 ; [0.96348561966600965] ; [0.18372594010272539]
840 ; 36 ; 12 ; 6 ; [0.63870661181380572] ; [0.35913786790296176]
840 ; 36 ; 12 ; 7 ; [0.66812646020082311] ; [3.4175471450352037]
840 ; 36 ; 13 ; 0 ; [0.094747503815751227] ; [-0.020973169129329498]
840 ; 36 ; 13 ; 1 ; [0.054688084044108021] ; [0.083602648580287112]
840 ; 36 ; 13 ; 2 ; [0.83692006200970992] ; [0.049061919317141295]
840 ; 36 ; 14 ; 0 ; [0.40850599932884235, 0.23017682495633304, 0.15043097241904649] ; [0.61148713746742278, 0.24971070174141308, 0.17750176016637143]
840 ; 36 ; 15 ; 0 ; [0.29275177972346195, 0.090370632861876118, 0.23837460766728136] ; [0.17589164041547081, 0.17149175815483078, 0.35897969465602492]
840 ; 36 ; 15 ; 1 ; [0.84020375550610304] ; [0.026084754320424678]
840 ; 36 ; 16 ; 1 ; [0.35582629022310658] ; [0.15896459613928046]
840 ; 36 ; 16 ; 2 ; [0.061342520140331959] ; [0.017163045164821332]
840 ; 36 ; 17 ; 0 ; [0.43099500889311099] ; [0.41274096796263021]
840 ; 36 ; 17 ; 2 ; [1.3064502666269828] ; [1.6776593413522307]
840 ; 36 ; 18 ; 0 ; [0.04411792211554675, 0.1383304260826124] ; [0.047603258228144783, 0.025904102100452551]
840 ; 36 ; 18 ; 3 ; [0.62404412599580406] ; [0.10602773863823328]
840 ; 36 ; 18 ; 6 ; [0.31515886834635154] ; [0.27377954443640312]
840 ; 36 ; 19 ; 0 ; [0.11718622392634705] ; [0.065786786436081837]
840 ; 36 ; 19 ; 1 ; [0.41040944446127348] ; [0.26164105395262138]
840 ; 36 ; 20 ; 1 ; [0.9399837528653292] ; [0.63702688711149213]
840 ; 36 ; 20 ; 16 ; [1.3502948438314546] ; [0.028841747664675451]
840 ; 36 ; 22 ; 3 ; [1.1034257574671302] ; [0.55028873275251411]
840 ; 36 ; 22 ; 4 ; [1.3293368220936661] ; [0.5554183350220685]
840 ; 36 ; 22 ; 7 ; [0.52857525783954062] ; [0.2819060085952525]
840 ; 36 ; 23 ; 0 ; [0.26794232630077641] ; [1.0841213172864168]
840 ; 36 ; 23 ; 1 ; [2.0105642027802912] ; [0.39673854385682955]
840 ; 36 ; 24 ; 2 ; [0.25566520316064001, 0.28611408919044756] ; [0.2962047830945061, 0.30766529550179772]
840 ; 36 ; 25 ; 0 ; [0.3050949668136671, 0.9263560508827543] ; [0.22167442027643419, 0.90543392113238308]
840 ; 36 ; 25 ; 1 ; [0.12290472123917047] ; [0.032669177235382332]
840 ; 36 ; 25 ; 3 ; [0.22704862506753745] ; [0.24230071557728969]
840 ; 36 ; 26 ; 0 ; [2.2785031684770152] ; [0.15765343538930993]
840 ; 36 ; 26 ; 2 ; [0.59207797064051648] ; [1.2650587725863149]
