# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 41 ; 0 ; 2 ; [0.10488533263699568] ; [0.40091623529955756]
840 ; 41 ; 0 ; 3 ; [1.3501907027487399] ; [0.19289016343849186]
840 ; 41 ; 1 ; 5 ; [0.015019536232677015] ; [0.81014597912446218]
840 ; 41 ; 2 ; 0 ; [0.20647107997942798, 0.30123697088276924, 0.2193422812238838, 0.27684156477569594, 0.23398494538261388] ; [0.18994815543227539, 0.20889185972204932, 0.081104675266764376, 0.15578707610892584, 0.064899268088201081]
840 ; 41 ; 3 ; 0 ; [0.17328361213199076, 0.23222393119114665, 0.12820068101406723, 0.050707844446398066] ; [0.20096426134049289, 0.25195247093737494, 0.20026003547409305, -0.0059445388320852385]
840 ; 41 ; 4 ; 0 ; [0.67099947565146323, 0.40165262295773457] ; [0.99735625742998368, 0.66344855239378642]
840 ; 41 ; 4 ; 7 ; [1.7619038436307455] ; [1.7577316167585926]
840 ; 41 ; 4 ; 9 ; [1.9537496667190877] ; [1.6576694222521522]
840 ; 41 ; 4 ; 14 ; [1.9897413363991934] ; [1.6882913819980838]
840 ; 41 ; 4 ; 19 ; [1.9134793745795133] ; [1.7119560210372431]
840 ; 41 ; 4 ; 21 ; [3.6033062391784374] ; [0.77951823778978802]
840 ; 41 ; 5 ; 0 ; [0.19606302593467578, 0.059666185989286143, 0.095504040244480379, 0.012145826743470525] ; [0.26071860373983574, 0.1872647712124921, 0.1775595260084768, 0.032932953647487863]
840 ; 41 ; 5 ; 1 ; [1.0817726135814625] ; [-0.0062567404508215782]
840 ; 41 ; 6 ; 0 ; [-0.72951287265129672] ; [0.4154102607363086]
840 ; 41 ; 6 ; 1 ; [0.49573752248555186] ; [0.87232013869113678]
840 ; 41 ; 6 ; 2 ; [0.6329141602430105] ; [1.3505213928480879]
840 ; 41 ; 7 ; 0 ; [0.5455074645893524] ; [0.017613478426822694]
840 ; 41 ; 7 ; 1 ; [0.19443633774712352, 0.024593858287709387] ; [0.32487466994128666, -0.0072766926402546717]
840 ; 41 ; 9 ; 1 ; [1.4912560196109057] ; [1.5921198971063069]
840 ; 41 ; 10 ; 0 ; [-0.0268584950010777, 0.0094891411735956964] ; [0.38001977107118406, 0.17661611336271563]
840 ; 41 ; 10 ; 1 ; [0.025103436363971336] ; [-0.28806254648737495]
840 ; 41 ; 11 ; 0 ; [0.37541487225185893] ; [0.34652072846690529]
840 ; 41 ; 11 ; 1 ; [0.1407674435984281] ; [0.020243819153128392]
840 ; 41 ; 11 ; 2 ; [0.30178544192872858] ; [0.033076283524925261]
840 ; 41 ; 12 ; 0 ; [0.14490169160146615, 0.25284026212811334, 0.016383253957576106] ; [0.24766498440943246, 0.24130314749745022, 0.13845241955377269]
840 ; 41 ; 13 ; 0 ; [1.2250494073813116] ; [0.39029879175163873]
840 ; 41 ; 13 ; 1 ; [1.2792041275917601] ; [0.5491807339835465]
840 ; 41 ; 13 ; 2 ; [0.97304145851026502] ; [1.1444586852488909]
840 ; 41 ; 13 ; 3 ; [2.2767598792643331] ; [0.68599615624706678]
840 ; 41 ; 13 ; 7 ; [0.38622221720922378] ; [1.373809195351531]
840 ; 41 ; 13 ; 9 ; [0.59433761778970962] ; [1.8928635042393449]
840 ; 41 ; 13 ; 12 ; [0.51327618558986721] ; [1.280040776489473]
840 ; 41 ; 13 ; 13 ; [1.9638793701855621] ; [1.8289345588316985]
840 ; 41 ; 13 ; 16 ; [0.98716658121652157] ; [2.5267597576102276]
840 ; 41 ; 13 ; 18 ; [0.026933896536061843] ; [2.1199411387237541]
840 ; 41 ; 13 ; 19 ; [1.1048121991534601] ; [1.229069365395391]
840 ; 41 ; 13 ; 22 ; [0.060427135411543605] ; [3.2120281278422005]
840 ; 41 ; 13 ; 24 ; [1.9785118648455564] ; [0.77042743301584293]
840 ; 41 ; 13 ; 26 ; [2.0098527595404621] ; [1.5518496598089382]
840 ; 41 ; 13 ; 28 ; [1.5712672354095942] ; [1.4750812799389132]
840 ; 41 ; 13 ; 29 ; [1.2317220479110713] ; [1.4697467774420849]
840 ; 41 ; 13 ; 30 ; [1.4513973598174716] ; [1.423091390843731]
840 ; 41 ; 13 ; 32 ; [1.5275720764825493] ; [1.6411534813396553]
840 ; 41 ; 13 ; 34 ; [1.8902644914568547] ; [1.2372895060504276]
840 ; 41 ; 14 ; 1 ; [3.4210629564111907] ; [1.0806047031221224]
840 ; 41 ; 14 ; 2 ; [0.60275873288708592] ; [2.2456333535456294]
840 ; 41 ; 14 ; 6 ; [0.2951190800841435] ; [2.9372108286063576]
840 ; 41 ; 14 ; 7 ; [4.6809087739830417] ; [1.1469487774206675]
840 ; 41 ; 15 ; 0 ; [0.11425675020795351, 0.19105961207159752, 0.1783087193186649, 0.28349253318863044, 0.27502764806231111] ; [0.13238390383258625, 0.22423060624626029, 0.28900220240488367, 0.33534587142496225, 0.10278432744980484]
840 ; 41 ; 15 ; 1 ; [0.02727573906255748] ; [-0.0070103860382118533]
840 ; 41 ; 17 ; 0 ; [0.020309340169985503] ; [0.60844098371850563]
840 ; 41 ; 17 ; 2 ; [1.205614483669071] ; [1.9183172048863764]
840 ; 41 ; 17 ; 8 ; [1.612687960199175] ; [2.034680861649417]
840 ; 41 ; 19 ; 0 ; [1.8495865348272706] ; [0.74027083250232373]
840 ; 41 ; 20 ; 0 ; [0.042129300638707567, 0.092532796833945483, 0.040878077631558062, -0.026532763110834103] ; [0.19710767090489684, 0.41858318146545959, 0.17365482870665785, 0.46486033308574221]
840 ; 41 ; 20 ; 1 ; [0.21499831094958224] ; [0.16846790921818922]
840 ; 41 ; 20 ; 2 ; [0.31567234579034598] ; [-0.0025249177805701955]
840 ; 41 ; 20 ; 3 ; [-0.01799340699075614] ; [0.0064840458006666562]
840 ; 41 ; 20 ; 4 ; [0.13567444022999678] ; [0.013714207487739619]
840 ; 41 ; 21 ; 0 ; [0.057179501215624082, 0.07995723066986507, -0.059441466742161178] ; [0.76380065604219094, 0.58287662023745257, 0.261325499477776]
840 ; 41 ; 21 ; 1 ; [0.56555293081240143] ; [0.018452433617432613]
840 ; 41 ; 22 ; 0 ; [0.045511111377036846] ; [0.17641480520763395]
840 ; 41 ; 22 ; 1 ; [1.7351655620069686] ; [0.11247597275218094]
840 ; 41 ; 22 ; 2 ; [1.837316474290476] ; [0.060616345472210474]
840 ; 41 ; 23 ; 0 ; [0.45594944156304373] ; [0.62457313271218995]
840 ; 41 ; 23 ; 2 ; [1.9880416475414846] ; [0.59410901490345314]
840 ; 41 ; 23 ; 3 ; [1.813352864611433] ; [1.4885079264169496]
840 ; 41 ; 23 ; 6 ; [1.0439286964875898] ; [1.8044845921075587]
840 ; 41 ; 23 ; 9 ; [1.3601651805677246] ; [1.4953034106114387]
840 ; 41 ; 23 ; 12 ; [2.1078711605033358] ; [4.887994662888727]
840 ; 41 ; 23 ; 20 ; [1.3832313793071771] ; [2.6812024987421008]
840 ; 41 ; 23 ; 21 ; [1.6335428346335521] ; [0.82976065746923822]
840 ; 41 ; 23 ; 23 ; [1.7808843393990894] ; [2.0980762237568547]
840 ; 41 ; 23 ; 28 ; [1.8347415669610923] ; [1.4581234216653813]
840 ; 41 ; 24 ; 1 ; [0.61023760094399626] ; [0.82289399560919385]
840 ; 41 ; 24 ; 2 ; [0.81363490625932877] ; [1.6521744211253147]
840 ; 41 ; 24 ; 11 ; [1.510053311236464] ; [1.3444889062193837]
840 ; 41 ; 25 ; 0 ; [0.24626940292082991, 0.24373354992103011, 0.11677662697943207, 0.090202244634902437] ; [0.11594756008461399, 0.12329595236996527, 0.15787637037691343, 0.26238768619734076]
840 ; 41 ; 25 ; 1 ; [0.19064732242871113] ; [0.077801098962570744]
840 ; 41 ; 26 ; 4 ; [1.4765811972564173] ; [1.4287800593890221]
840 ; 41 ; 26 ; 5 ; [0.4304779853078699] ; [1.6173820925748437]
840 ; 41 ; 26 ; 8 ; [0.50871087939937754] ; [1.0847262243971918]
840 ; 41 ; 26 ; 9 ; [0.16954526330275943] ; [0.67111745933836608]
840 ; 41 ; 26 ; 10 ; [0.064293929903333089] ; [0.98973844371801201]
840 ; 41 ; 26 ; 11 ; [0.076193277887518562] ; [0.70776392918647768]
840 ; 41 ; 28 ; 0 ; [0.10291155237161714] ; [0.18595343208211573]
840 ; 41 ; 28 ; 1 ; [1.8854088486877925] ; [0.50014743242638826]
840 ; 41 ; 28 ; 3 ; [1.4509974558632328] ; [0.77889262836993656]
840 ; 41 ; 28 ; 4 ; [0.86910690964111226] ; [1.4813001775949799]
840 ; 41 ; 29 ; 0 ; [-0.011527205459719669, -0.0084897973803719374, 0.0021682556282100239] ; [0.16387285243561597, 0.18995546944619307, 0.16615912895270993]
840 ; 41 ; 30 ; 0 ; [0.27269587180038052, 0.49106053329386862] ; [0.10943485528030668, 0.11063314479030366]
840 ; 41 ; 30 ; 1 ; [0.5002178832263694] ; [0.40867017559061464]
840 ; 41 ; 30 ; 3 ; [0.92694647901065219] ; [0.19293662131241915]
840 ; 41 ; 30 ; 4 ; [2.1898061188707834] ; [0.52050131207148553]
840 ; 41 ; 30 ; 7 ; [0.30541478283681123] ; [2.1662302850592168]
840 ; 41 ; 30 ; 8 ; [2.8114701311753958] ; [0.9411908515986398]
840 ; 41 ; 30 ; 10 ; [0.53479133609764828] ; [0.89619881538352053]
840 ; 41 ; 30 ; 11 ; [1.1967827736338643] ; [1.8028870278445683]
840 ; 41 ; 30 ; 12 ; [5.8996606871996233] ; [1.4511542939510935]
840 ; 41 ; 30 ; 13 ; [1.3421243226104165] ; [1.9172932317251681]
840 ; 41 ; 30 ; 16 ; [1.8305987213405019] ; [0.69907708632734922]
840 ; 41 ; 30 ; 17 ; [1.9148494739602917] ; [1.7179479705461438]
840 ; 41 ; 30 ; 18 ; [0.80186328270224727] ; [1.2150946698286873]
840 ; 41 ; 30 ; 19 ; [1.7160451831266357] ; [2.2355455040944294]
840 ; 41 ; 30 ; 20 ; [1.2030315856420124] ; [1.8345983236554071]
840 ; 41 ; 30 ; 21 ; [5.7296598679956512] ; [2.5658186196354293]
840 ; 41 ; 30 ; 23 ; [0.35968465806279842] ; [0.87371157902439034]
840 ; 41 ; 30 ; 26 ; [1.4958693267668579] ; [0.77220671272878327]
840 ; 41 ; 31 ; 0 ; [0.0030499143139358252, 0.0057715399516891181, 0.0078487916440677929, 0.035949142557848743] ; [0.1754500408635877, 0.22461330481889802, 0.18082717335945656, 0.12824536340771867]
840 ; 41 ; 31 ; 2 ; [0.046490638536168208] ; [-0.0083257391421694138]
840 ; 41 ; 33 ; 0 ; [0.49304135304494084, 0.3186043276964714] ; [0.30439418943826768, 0.1858897484127312]
840 ; 41 ; 33 ; 1 ; [0.5111467493383417] ; [0.45494615180592762]
840 ; 41 ; 34 ; 0 ; [0.16345588703725725, 0.14315412158143948] ; [0.10405428966161369, 0.17700677318559202]
840 ; 41 ; 34 ; 1 ; [0.017648860988674034] ; [0.037072009115153771]
840 ; 41 ; 34 ; 2 ; [0.1449612938902009] ; [0.14709854782994763]
840 ; 41 ; 35 ; 0 ; [0.14275568173088615] ; [0.031206112709613994]
840 ; 41 ; 35 ; 1 ; [0.6060393350748956] ; [0.82409278111296691]
840 ; 41 ; 35 ; 5 ; [3.0000408938833267] ; [1.1664031366319063]
840 ; 41 ; 35 ; 7 ; [1.5650807512088174] ; [0.42279000943162415]
840 ; 41 ; 35 ; 9 ; [2.8625098857994664] ; [0.7917502087608016]
840 ; 41 ; 35 ; 11 ; [2.0793155528881795] ; [2.7968797857982244]
840 ; 41 ; 35 ; 13 ; [0.5890382728668957] ; [0.91669205914190943]
840 ; 41 ; 35 ; 15 ; [1.0704844964303177] ; [0.58856402751660863]
840 ; 41 ; 36 ; 0 ; [0.43329032663349543] ; [0.0039106652565130007]
840 ; 41 ; 36 ; 1 ; [0.049941191735366992] ; [0.48765388956014288]
840 ; 41 ; 36 ; 3 ; [0.29855211318132868] ; [0.17640127030189104]
840 ; 41 ; 36 ; 4 ; [1.0387864191233775] ; [-0.0078584652774336579]
840 ; 41 ; 37 ; 0 ; [0.14431105053373308, 0.10631855237196595, 0.061323754908764641] ; [0.15057196268105469, 0.20541712768450204, 0.10066571473469442]
840 ; 41 ; 38 ; 0 ; [0.0017821858376009367, 0.0032282522840979197, -0.020359003670410779] ; [0.21404927423243192, 0.21278875954019463, 0.082691921807646993]
840 ; 41 ; 39 ; 0 ; [4.3699328240727535, 2.9963558125139365] ; [0.17785904673925135, 0.03009901378552864]
840 ; 41 ; 39 ; 2 ; [1.630562874784645] ; [2.6242237470189274]
840 ; 41 ; 39 ; 3 ; [1.5824745734233858] ; [1.9213599073335106]
840 ; 41 ; 39 ; 5 ; [1.6465577054226361] ; [1.6921293393753523]
840 ; 41 ; 39 ; 11 ; [2.7991989677449682] ; [1.6625785380326956]
840 ; 41 ; 39 ; 12 ; [0.87934498755781465] ; [1.6374499637522537]
840 ; 41 ; 39 ; 15 ; [1.8830203819203959] ; [2.4734426560993206]
840 ; 41 ; 39 ; 16 ; [0.73251732294258287] ; [2.2299755489828783]
840 ; 41 ; 39 ; 17 ; [1.8537863780090282] ; [2.3843044061158132]
840 ; 41 ; 39 ; 18 ; [1.8592851124427827] ; [0.66260574429951113]
840 ; 41 ; 39 ; 22 ; [1.945955329966166] ; [1.8263683060873455]
840 ; 41 ; 39 ; 25 ; [2.1730372686684425] ; [1.0489298021708324]
840 ; 41 ; 39 ; 26 ; [0.14975344553175257] ; [1.8718047288024651]
