# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
840 ; 82 ; 0 ; 1 ; [0.4072622022195852, 0.15357344213809346] ; [0.30583677766305994, 0.29499601290014271]
840 ; 82 ; 1 ; 0 ; [1.6400793197472365] ; [0.070485631013465028]
840 ; 82 ; 2 ; 1 ; [0.44998517662627507] ; [0.11292407962563911]
840 ; 82 ; 2 ; 2 ; [1.3089781366264168] ; [1.9637481631810669]
840 ; 82 ; 2 ; 5 ; [2.0739273960687141] ; [1.4816984935552369]
840 ; 82 ; 3 ; 2 ; [0.8544136336574466] ; [1.136423539218508]
840 ; 82 ; 3 ; 6 ; [2.8634446574413408] ; [1.3214541522164145]
840 ; 82 ; 3 ; 8 ; [0.83416144932222125] ; [1.4902461851412883]
840 ; 82 ; 4 ; 0 ; [2.8312982938567934] ; [0.29886353628081352]
840 ; 82 ; 5 ; 0 ; [0.35542153744411997, 0.7365272820647587] ; [0.13471497470924787, 0.11310938737353921]
840 ; 82 ; 5 ; 1 ; [0.78405031770334777, 0.31750724999343616] ; [0.082491883277681768, 0.14697719908128445]
840 ; 82 ; 5 ; 5 ; [2.6099272237792879] ; [0.43684663438109811]
840 ; 82 ; 6 ; 0 ; [0.091511296625717511, 0.11575557363432996] ; [0.13683247178936511, 0.14587934416122342]
840 ; 82 ; 6 ; 1 ; [0.22703319031258276] ; [0.69831962171909612]
840 ; 82 ; 6 ; 2 ; [0.66181440459517937] ; [0.57783743362964479]
840 ; 82 ; 6 ; 3 ; [0.088647414955631693] ; [0.13842082503238645]
840 ; 82 ; 6 ; 6 ; [0.15606166333968771] ; [0.98874361342657435]
840 ; 82 ; 7 ; 0 ; [0.028169977716360515, -0.0074541093096358356, 0.10582360481455562] ; [0.19910787969889054, 0.15365545349201445, 0.2480118046063684]
840 ; 82 ; 7 ; 1 ; [0.013189319788604797] ; [0.035688459303904178]
840 ; 82 ; 8 ; 3 ; [2.7051745269793166] ; [1.5495220763870152]
840 ; 82 ; 8 ; 6 ; [0.2948439097178906] ; [1.1779439147973358]
840 ; 82 ; 8 ; 9 ; [0.03045046782073851] ; [1.2420970062099479]
840 ; 82 ; 8 ; 10 ; [0.90724266127366515] ; [1.8844434582205527]
840 ; 82 ; 9 ; 0 ; [1.0582946251468592] ; [1.5347882260725307]
840 ; 82 ; 9 ; 1 ; [4.2522402852751382] ; [1.4506780186924579]
840 ; 82 ; 9 ; 2 ; [0.7604135722605101] ; [1.2323135229703939]
840 ; 82 ; 9 ; 4 ; [2.217850689642995] ; [1.2590020093971466]
840 ; 82 ; 9 ; 5 ; [0.63562205410366646] ; [1.0303822906621576]
840 ; 82 ; 9 ; 8 ; [0.93784788666804264] ; [0.88350281611898007]
840 ; 82 ; 9 ; 9 ; [1.6535383343769685] ; [1.4247205701309498]
840 ; 82 ; 9 ; 10 ; [0.0063964500552084634] ; [1.4330227234118393]
840 ; 82 ; 9 ; 17 ; [2.0971654117619134] ; [1.1775249616656309]
840 ; 82 ; 9 ; 21 ; [1.3978091413624389] ; [0.87717306194768829]
840 ; 82 ; 9 ; 28 ; [2.0985403527696329] ; [0.61656101370141991]
840 ; 82 ; 10 ; 1 ; [1.1373023699558109] ; [1.0322425067289096]
840 ; 82 ; 10 ; 3 ; [1.0269698860176038] ; [0.73481542653892573]
840 ; 82 ; 10 ; 5 ; [4.6062583205336445] ; [1.0133548816361286]
840 ; 82 ; 10 ; 8 ; [0.28966272696732331] ; [0.61963628576464247]
