# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
786 ; 2 ; 0 ; 0 ; [0.40012030992361736] ; [0.27787210535261547]
786 ; 2 ; 0 ; 1 ; [0.040062737728753683] ; [0.45922584312770065]
786 ; 2 ; 0 ; 2 ; [0.13103158799446271] ; [0.29030032100396619]
786 ; 2 ; 0 ; 4 ; [0.27292842580215887] ; [0.64430933723437933]
786 ; 2 ; 0 ; 7 ; [0.41065989738006492] ; [0.41842004681801809]
786 ; 2 ; 1 ; 0 ; [0.2882024158895663, 0.18758932764578137, 0.10480173246040242] ; [0.25106762892549211, 0.33285895088579159, 0.11083584097252135]
786 ; 2 ; 2 ; 0 ; [0.043867189919988434, 0.030877732645797996, 0.094439103169145625] ; [0.12571102271352882, 0.4550134173056109, 0.24789055259760043]
786 ; 2 ; 2 ; 1 ; [0.034769532598089771] ; [0.38217692160855959]
786 ; 2 ; 3 ; 0 ; [0.24789174662114616] ; [0.72831734019849137]
786 ; 2 ; 3 ; 2 ; [0.24132700092823989] ; [0.97435421718512538]
786 ; 2 ; 3 ; 4 ; [1.886022500951213] ; [0.17458775530319032]
786 ; 2 ; 3 ; 5 ; [0.39114978220734825] ; [0.66903210008580083]
786 ; 2 ; 3 ; 11 ; [0.93120182111696415] ; [0.1567507879627289]
786 ; 2 ; 4 ; 1 ; [1.2991565607823536] ; [2.7090531819799999]
786 ; 2 ; 4 ; 2 ; [6.9440945284780291] ; [3.662974362579281]
786 ; 2 ; 4 ; 3 ; [0.57694847414306838] ; [0.85016149118127882]
786 ; 2 ; 4 ; 4 ; [5.1472726605797208] ; [3.7840877038127956]
786 ; 2 ; 4 ; 6 ; [0.49032719944303244] ; [8.5971071812251854]
786 ; 2 ; 4 ; 7 ; [0.63527769358111763] ; [3.0969174169269302]
786 ; 2 ; 4 ; 8 ; [9.2795656968597395] ; [1.8810951109229688]
786 ; 2 ; 4 ; 11 ; [0.43185352091057605] ; [-0.21421360899121789]
786 ; 2 ; 4 ; 13 ; [0.25020009834132395] ; [2.3493248338235535]
786 ; 2 ; 4 ; 14 ; [0.41670904955532617] ; [4.3425483741062845]
786 ; 2 ; 5 ; 0 ; [0.83926564373674784] ; [0.74287185094772445]
786 ; 2 ; 5 ; 1 ; [0.081619791406728509] ; [0.37162488999468696]
786 ; 2 ; 5 ; 2 ; [0.20914837481356419] ; [-0.021263148584242986]
786 ; 2 ; 5 ; 6 ; [1.6087036966196864] ; [0.98039952309447365]
786 ; 2 ; 6 ; 0 ; [0.38551608684824756] ; [0.31943045820486266]
786 ; 2 ; 7 ; 0 ; [0.72304226923451176] ; [1.2622944542519929]
786 ; 2 ; 8 ; 0 ; [0.91901256866452719] ; [0.79647165113251117]
786 ; 2 ; 8 ; 1 ; [1.0121104425824574] ; [1.1805226075078339]
786 ; 2 ; 8 ; 2 ; [0.10737622654287696] ; [0.59373939633516226]
786 ; 2 ; 8 ; 3 ; [0.41899121173550369] ; [0.96273288853684691]
786 ; 2 ; 8 ; 4 ; [0.11637406545410775] ; [1.2723578474605195]
786 ; 2 ; 9 ; 0 ; [0.27289377263736447] ; [0.18769784668633452]
786 ; 2 ; 9 ; 3 ; [2.3204132567814471] ; [10.424641695859556]
786 ; 2 ; 10 ; 0 ; [-0.0082866499325189615] ; [0.19096689582831888]
786 ; 2 ; 10 ; 1 ; [0.0040310560796583102, 0.060899067406044199, 0.060492934904964706, 0.14499631980266775] ; [0.33498225901120943, 0.26647890977301125, 0.36711629964608744, 0.098511665112578028]
786 ; 2 ; 11 ; 0 ; [0.085189348883273425, 0.35448423245341354, 0.00077742813176390094] ; [0.24903844594087776, 0.63174864291261124, 0.30049781824706778]
786 ; 2 ; 11 ; 1 ; [0.44452982790034012] ; [0.57277583664941556]
786 ; 2 ; 12 ; 0 ; [10.24598462084834] ; [1.8996220704413542]
786 ; 2 ; 13 ; 0 ; [0.65328275191761698] ; [1.2070247816829263]
786 ; 2 ; 13 ; 1 ; [0.48420902884516331] ; [0.0062104157523480037]
786 ; 2 ; 13 ; 2 ; [-0.091729989280251931] ; [1.3614846707213353]
786 ; 2 ; 13 ; 5 ; [1.7732847109301566] ; [1.9242572344937536]
786 ; 2 ; 13 ; 6 ; [1.5691305292798978] ; [0.029901313712901442]
786 ; 2 ; 14 ; 1 ; [0.25662986478612809, 0.7861405104111292] ; [0.42100670567836723, 0.10335129733561296]
786 ; 2 ; 14 ; 2 ; [0.34721622857680995] ; [0.087748945574362053]
786 ; 2 ; 14 ; 3 ; [0.046477655077278426] ; [0.019531136713941275]
786 ; 2 ; 15 ; 0 ; [0.33672549841089006, 0.2176890215996381] ; [0.44553512912389454, 0.24631360253529549]
786 ; 2 ; 16 ; 1 ; [-0.0054258719829813349, 0.077897742148311647, 0.030215016858091186] ; [0.17592749202777211, 0.23686812110779226, 0.22026525747794634]
786 ; 2 ; 18 ; 2 ; [0.5941887058590346] ; [0.61742312994899329]
786 ; 2 ; 18 ; 4 ; [0.95968244987082296] ; [1.060011171449855]
786 ; 2 ; 18 ; 5 ; [0.51723129815935964] ; [0.33452825777725814]
786 ; 2 ; 19 ; 0 ; [0.12873549866365569, 0.13371668634652212, 0.046195014126863228] ; [0.12489151447270425, 0.22440817198474156, -0.058878632136699346]
786 ; 2 ; 20 ; 1 ; [2.0616500259247732] ; [0.85076217944979604]
786 ; 2 ; 21 ; 0 ; [0.051063258681746333, 0.13690468185267898, 0.31443051966530661, 0.39365500323592556] ; [0.29285556617983871, 1.166861414630586, 0.11507893621867465, 0.12602201379790615]
786 ; 2 ; 21 ; 1 ; [3.6944327692480323] ; [0.14387338599999419]
786 ; 2 ; 21 ; 2 ; [0.20135694422396583] ; [1.2002879649884637]
786 ; 2 ; 22 ; 0 ; [0.052920512526991516, -0.0032961108089898765, 0.12299854904213987] ; [0.75136279045190468, 0.23043169486510107, 0.0010795399624641086]
786 ; 2 ; 23 ; 0 ; [0.057356663476441229, 0.025985930172301289, 0.079857640451613601] ; [0.29298161255007582, 0.53125669741926596, 0.031815253121177195]
786 ; 2 ; 23 ; 1 ; [0.10467725221664924] ; [0.081230239302632068]
786 ; 2 ; 24 ; 0 ; [0.31030530772990794, 0.076063407608179867] ; [0.20190756031318882, 0.16748765392545648]
786 ; 2 ; 24 ; 1 ; [0.25464117016780125] ; [-0.01268081095676451]
786 ; 2 ; 25 ; 0 ; [0.14488177337225513, 1.4626501911174514] ; [1.108150972389728, 0.37616282786516214]
786 ; 2 ; 25 ; 5 ; [0.087287884280001116] ; [0.54535651436600752]
786 ; 2 ; 26 ; 0 ; [0.025534132455505346, 0.067640535332567767, -0.0053936856518626043, 0.0067464888601206701] ; [0.21544332457259219, 0.46780679333145814, 0.16892228964545533, -0.072789890685478045]
786 ; 2 ; 26 ; 1 ; [0.03377612707469782] ; [0.10662237031791388]
786 ; 2 ; 27 ; 0 ; [0.43458679336425377, 0.48435220213313707, 0.21783370349619621] ; [0.2078463991217129, 0.32599859131741959, 0.24695263076360544]
786 ; 2 ; 28 ; 0 ; [0.63803598168986708, 0.32595186594801046] ; [0.50751410836343092, 0.20456993229389123]
786 ; 2 ; 28 ; 1 ; [0.38820067739340391] ; [0.17266738977606455]
786 ; 2 ; 28 ; 2 ; [0.49840763715558822] ; [0.25333150381826797]
786 ; 2 ; 29 ; 1 ; [1.7059840598467635] ; [1.3056820817907004]
786 ; 2 ; 29 ; 2 ; [1.6347779850739856] ; [1.1110474265065238]
786 ; 2 ; 29 ; 10 ; [2.5333364866338872] ; [0.63374191380623024]
786 ; 2 ; 29 ; 12 ; [1.8873466827156553] ; [3.1151767133166213]
786 ; 2 ; 29 ; 13 ; [2.1371816288376433] ; [1.9349901021892681]
786 ; 2 ; 29 ; 16 ; [2.2651381358886629] ; [1.2230334097443789]
786 ; 2 ; 30 ; 0 ; [0.21800499789247171, 0.18042565963253648, 0.36007246837935142] ; [0.30085668508752117, 0.25783949269536888, 0.62490062966362947]
786 ; 2 ; 30 ; 1 ; [0.63076100329214857] ; [0.030247992032456403]
786 ; 2 ; 30 ; 3 ; [0.14495620361589667] ; [0.37010131778512734]
786 ; 2 ; 31 ; 0 ; [0.12088090908191639, 0.064423701246507661, 0.07246681247117899] ; [0.26106003749213974, 0.18058568641776304, -0.096414258555732962]
786 ; 2 ; 32 ; 0 ; [0.18277747968313357, 0.16459828841824029, 0.054527861255799455] ; [0.15414426798968955, 0.22353155206333675, 0.19437845974179963]
786 ; 2 ; 32 ; 1 ; [0.18415354179028881] ; [0.29859160294786707]
786 ; 2 ; 34 ; 9 ; [3.6810533591469992] ; [1.3582353875112747]
786 ; 2 ; 34 ; 10 ; [0.074972686851702608] ; [1.1452820365138996]
786 ; 2 ; 35 ; 1 ; [-0.0013398038677050442] ; [1.082945340838936]
786 ; 2 ; 36 ; 2 ; [3.2117246251677725] ; [0.67180879548588424]
786 ; 2 ; 36 ; 6 ; [2.2135860000634806] ; [1.9831261573439332]
786 ; 2 ; 36 ; 16 ; [0.39734899369798121] ; [0.46356811563683975]
786 ; 2 ; 36 ; 18 ; [1.5344502055817419] ; [1.131571384504503]
786 ; 2 ; 36 ; 19 ; [4.5757757176548264] ; [1.4474317496420792]
