# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 12 ; 0 ; 15 ; [6.6679573102763046] ; [1.4805535465849597]
998 ; 12 ; 0 ; 16 ; [0.75491358928993035] ; [1.3996458510600418]
998 ; 12 ; 2 ; 2 ; [0.3463219594336911] ; [1.2355228992416547]
998 ; 12 ; 2 ; 5 ; [0.12456423992440976] ; [0.20387017366301563]
998 ; 12 ; 2 ; 7 ; [0.010787016706616307] ; [1.7894567521427387]
998 ; 12 ; 2 ; 16 ; [1.1221654276156687] ; [0.18197665190109188]
998 ; 12 ; 2 ; 17 ; [0.25907585244896186] ; [0.91802962477584005]
998 ; 12 ; 3 ; 9 ; [0.61400423391609649] ; [1.114797770952489]
998 ; 12 ; 4 ; 4 ; [0.2186910205262769] ; [-0.045620885669807404]
998 ; 12 ; 4 ; 5 ; [-0.016865223088366191] ; [1.223221474639518]
998 ; 12 ; 5 ; 1 ; [1.6135540413743903] ; [0.034553962227814858]
998 ; 12 ; 5 ; 3 ; [0.19196087430927505] ; [0.035605476743841784]
998 ; 12 ; 6 ; 1 ; [0.075808349625543808] ; [0.60408362733313437]
998 ; 12 ; 6 ; 2 ; [0.4073184291596047] ; [1.3638048055086289]
998 ; 12 ; 7 ; 0 ; [-0.0047978250184896295] ; [0.63924929806578901]
998 ; 12 ; 8 ; 9 ; [0.092334196574525143] ; [-0.046601777785876854]
998 ; 12 ; 9 ; 0 ; [0.20149597297339389] ; [0.54143350064812401]
998 ; 12 ; 10 ; 0 ; [1.7568726139798552] ; [0.83144667119907301]
998 ; 12 ; 10 ; 1 ; [2.1195215297202492] ; [0.4375148095876642]
998 ; 12 ; 10 ; 2 ; [1.3234617412495702] ; [1.0800872025660848]
998 ; 12 ; 10 ; 5 ; [2.4161981397616401] ; [1.12190871507137]
998 ; 12 ; 10 ; 6 ; [1.8710877813119182] ; [1.0236426483965388]
998 ; 12 ; 10 ; 8 ; [2.4133356925681952] ; [0.89364188460907656]
998 ; 12 ; 10 ; 9 ; [0.93913009732584185] ; [1.0916154697174814]
998 ; 12 ; 10 ; 10 ; [2.4039924453807058] ; [1.4288365783913957]
998 ; 12 ; 10 ; 12 ; [0.42271199404940718] ; [1.2097814545925447]
998 ; 12 ; 10 ; 13 ; [0.49136581943767638] ; [2.6076032318930058]
998 ; 12 ; 10 ; 20 ; [2.1386392400416199] ; [2.2660829108295206]
998 ; 12 ; 10 ; 21 ; [0.4152028160032129] ; [1.0011783408801802]
998 ; 12 ; 10 ; 22 ; [3.181215266909005] ; [1.1231061663683533]
998 ; 12 ; 10 ; 28 ; [2.02007633578391] ; [0.57693368618242957]
998 ; 12 ; 10 ; 30 ; [5.990619487096339] ; [1.6739751215185683]
998 ; 12 ; 10 ; 32 ; [0.040311906085646172] ; [2.1382760292951573]
998 ; 12 ; 10 ; 34 ; [0.57815462952667052] ; [2.0521759359787248]
998 ; 12 ; 10 ; 38 ; [0.019223163296602605] ; [0.59157102624921565]
998 ; 12 ; 10 ; 40 ; [2.1443644506515382] ; [1.0455303218232141]
998 ; 12 ; 10 ; 42 ; [1.2078802311290533] ; [1.2661081987914584]
998 ; 12 ; 12 ; 0 ; [0.074434823286115379, 0.050768407767129979] ; [0.22717925208698364, 0.59904475083361464]
998 ; 12 ; 13 ; 10 ; [0.27563470562551018] ; [1.209967456171033]
998 ; 12 ; 13 ; 11 ; [0.23452524019647583] ; [1.2069229155858865]
998 ; 12 ; 14 ; 1 ; [0.16556186339423648] ; [0.044512389787360856]
998 ; 12 ; 14 ; 9 ; [2.2494856994867778] ; [0.25529977636996665]
998 ; 12 ; 14 ; 10 ; [0.057890885442482692] ; [0.439965673677785]
998 ; 12 ; 15 ; 1 ; [0.19488650136666302, 0.053625438842163045] ; [0.20377736929006462, 0.24323570707074468]
998 ; 12 ; 15 ; 4 ; [0.071271382317042525] ; [9.7182618607586821]
998 ; 12 ; 15 ; 5 ; [0.12392312835018916] ; [7.424765180575557]
998 ; 12 ; 15 ; 6 ; [2.4725565329190449] ; [5.3391671165185288]
998 ; 12 ; 16 ; 0 ; [0.12311501316628692] ; [0.027376727923098591]
998 ; 12 ; 16 ; 2 ; [1.5707820009257771] ; [3.0028732028329359]
998 ; 12 ; 16 ; 5 ; [2.5998957027221694] ; [3.1004953253502974]
998 ; 12 ; 16 ; 7 ; [3.1781143479504412] ; [2.4335006505695116]
998 ; 12 ; 16 ; 8 ; [2.6554068512232551] ; [2.5422704734508068]
998 ; 12 ; 16 ; 10 ; [0.96605098720814786] ; [2.1371316798278142]
998 ; 12 ; 16 ; 12 ; [1.9040422883628825] ; [1.7757083755179679]
998 ; 12 ; 16 ; 13 ; [1.6410660523657266] ; [1.4199274491102287]
998 ; 12 ; 16 ; 14 ; [1.6890935554183486] ; [3.0650676604360103]
998 ; 12 ; 16 ; 16 ; [1.5830589097730685] ; [1.700438995475771]
998 ; 12 ; 16 ; 18 ; [1.2707973172050762] ; [1.7146870520670781]
998 ; 12 ; 16 ; 23 ; [1.3929596863032219] ; [1.9661386789991333]
998 ; 12 ; 16 ; 24 ; [1.348117188699534] ; [1.1965004657962888]
998 ; 12 ; 16 ; 25 ; [1.8951267558807967] ; [1.8372102426918637]
998 ; 12 ; 16 ; 27 ; [0.81272713597683044] ; [0.64070561502348988]
998 ; 12 ; 16 ; 30 ; [0.62759203840490951] ; [0.87515635154232663]
998 ; 12 ; 16 ; 32 ; [1.5978528451634639] ; [2.2762520863217808]
998 ; 12 ; 16 ; 33 ; [1.540891789729453] ; [1.3381266198078809]
998 ; 12 ; 17 ; 0 ; [0.15905186157828943, 0.0013948913663643526, 0.091488197560436135] ; [0.30249408848284676, 0.21996311752178813, 0.32745301180968067]
998 ; 12 ; 17 ; 2 ; [1.5900316077494872] ; [0.1294301960006253]
998 ; 12 ; 18 ; 0 ; [0.71190815465289659, 1.6237718471261526] ; [-0.0101122429353742, 0.029958250024589062]
998 ; 12 ; 18 ; 1 ; [0.15187492318952756] ; [0.55371098043629274]
998 ; 12 ; 18 ; 3 ; [0.079470598515740065] ; [1.2024794343802445]
998 ; 12 ; 18 ; 8 ; [0.11899675233486573] ; [2.1936098520693896]
998 ; 12 ; 18 ; 9 ; [0.97155353729892624] ; [3.4925038892191291]
998 ; 12 ; 18 ; 12 ; [0.091469069136607892] ; [1.8487373726715559]
998 ; 12 ; 18 ; 13 ; [0.045542305438126277] ; [1.6051222057169185]
998 ; 12 ; 19 ; 0 ; [0.31587838721344264, 1.0372679455641045] ; [0.075914367720803982, 0.11138909479451013]
998 ; 12 ; 19 ; 1 ; [0.66421689811091777] ; [0.4747752745371161]
998 ; 12 ; 19 ; 3 ; [0.22923516937205679] ; [0.44064886543196147]
998 ; 12 ; 19 ; 5 ; [0.99835973222978291] ; [0.94123942823788453]
998 ; 12 ; 19 ; 7 ; [1.9684825632053704] ; [1.1722180972187528]
998 ; 12 ; 19 ; 10 ; [2.8684042392365834] ; [5.9556089757757791]
998 ; 12 ; 19 ; 12 ; [1.5775062827762516] ; [1.3388650387141467]
998 ; 12 ; 19 ; 18 ; [0.54376369883590059] ; [1.2891586845727485]
998 ; 12 ; 19 ; 20 ; [1.5604236053892342] ; [2.35411532162458]
998 ; 12 ; 19 ; 23 ; [3.5982607176513666] ; [1.4886241994562095]
998 ; 12 ; 19 ; 24 ; [0.90154292590990681] ; [1.0170694952162724]
998 ; 12 ; 19 ; 25 ; [1.7782424006140212] ; [0.56561377241544675]
998 ; 12 ; 19 ; 27 ; [0.46743650632715777] ; [1.9420665331664848]
998 ; 12 ; 19 ; 28 ; [0.4515256400960484] ; [1.8831111742107456]
998 ; 12 ; 19 ; 29 ; [0.97595120284387959] ; [1.576073280110702]
998 ; 12 ; 20 ; 3 ; [1.5747226021736225] ; [0.36917941489066708]
998 ; 12 ; 20 ; 5 ; [3.6273555726737894] ; [1.7622497009830913]
998 ; 12 ; 20 ; 6 ; [0.24338733936547269] ; [1.9404314712328881]
998 ; 12 ; 20 ; 8 ; [0.26848059098192006] ; [1.2686079328078039]
998 ; 12 ; 20 ; 9 ; [1.308895383688657] ; [1.2193322173548289]
998 ; 12 ; 20 ; 13 ; [2.4009220738539012] ; [1.4181198771891872]
998 ; 12 ; 20 ; 14 ; [0.25274247966493291] ; [0.39485748743988741]
998 ; 12 ; 20 ; 15 ; [0.42155129545115344] ; [1.0488447973443238]
998 ; 12 ; 21 ; 2 ; [0.89513638681708085] ; [1.4602083952590503]
998 ; 12 ; 21 ; 3 ; [2.52076849785362] ; [1.6411908216792053]
998 ; 12 ; 21 ; 4 ; [0.1609315634254932] ; [1.8071167907467949]
998 ; 12 ; 21 ; 7 ; [1.5041796121122735] ; [3.0869486059637241]
998 ; 12 ; 21 ; 8 ; [1.7200387358975127] ; [2.5777226326767009]
998 ; 12 ; 21 ; 9 ; [1.7053397107062034] ; [2.3539071562958664]
998 ; 12 ; 21 ; 10 ; [0.45501153554975909] ; [0.6765461775945335]
998 ; 12 ; 21 ; 13 ; [0.13045671986063334] ; [2.4170161718714587]
998 ; 12 ; 21 ; 24 ; [1.4618755122655489] ; [1.4806426973059401]
998 ; 12 ; 21 ; 26 ; [3.0211844661890179] ; [3.1940960255699418]
998 ; 12 ; 21 ; 28 ; [1.287282661490345] ; [1.778111129281372]
998 ; 12 ; 21 ; 29 ; [0.22843677908104196] ; [1.990864467263066]
998 ; 12 ; 22 ; 1 ; [0.49776839254489413] ; [0.89408800352809759]
998 ; 12 ; 23 ; 5 ; [0.46358918981894393] ; [0.10606354853374773]
998 ; 12 ; 23 ; 7 ; [0.035603623425188961] ; [0.041898224985445001]
998 ; 12 ; 23 ; 8 ; [0.15361573994628924] ; [0.19224685042202358]
998 ; 12 ; 24 ; 0 ; [0.25008762856387773, -0.00061895793874153769] ; [0.38778258154611045, 0.096244523462015202]
998 ; 12 ; 25 ; 0 ; [0.605636079203837] ; [0.85296393566099871]
998 ; 12 ; 25 ; 3 ; [1.1062168288434222] ; [1.4879749650905807]
998 ; 12 ; 25 ; 4 ; [0.48134646875384179] ; [1.1985534573061749]
998 ; 12 ; 25 ; 9 ; [2.3519665605364395] ; [1.9329831157507031]
998 ; 12 ; 26 ; 0 ; [0.50739188664811463, 5.2210735347811914] ; [0.63906561588273969, 2.1340966960769596]
998 ; 12 ; 26 ; 1 ; [1.7382763163829085] ; [0.5986205588310598]
998 ; 12 ; 26 ; 3 ; [1.4630968968319993] ; [1.9363091774107055]
998 ; 12 ; 26 ; 4 ; [1.501836517689531] ; [1.3511607623352186]
998 ; 12 ; 26 ; 5 ; [1.2829176131634583] ; [1.7259502045128798]
998 ; 12 ; 26 ; 11 ; [1.5556296688252591] ; [1.1776641328866997]
998 ; 12 ; 27 ; 2 ; [0.48538811255547459] ; [0.89084920099713327]
998 ; 12 ; 27 ; 7 ; [0.11853514419438967] ; [1.6817017718343221]
998 ; 12 ; 27 ; 8 ; [0.064377111713040155] ; [0.75971560156094731]
998 ; 12 ; 27 ; 9 ; [0.043121156728064478] ; [1.2380144103630777]
998 ; 12 ; 28 ; 2 ; [0.40243532597643239] ; [0.80021631340433541]
998 ; 12 ; 28 ; 3 ; [1.4388563572842443] ; [0.33364174575105809]
998 ; 12 ; 28 ; 6 ; [0.26262414538875672] ; [1.8046461709315842]
