# Run ; Subrun ; Event ; Track ; Charge Ratios View 0 ; Charge Ratios View 1 #
998 ; 46 ; 0 ; 0 ; [0.22674516043040235, 0.4526239514216539, 0.32594920543517952] ; [0.093666713042245067, 0.1172687489895075, 0.68733098143674676]
998 ; 46 ; 1 ; 1 ; [0.39589686749346797] ; [0.17139414804338193]
998 ; 46 ; 1 ; 16 ; [0.023749635716616247] ; [0.061421381957006103]
998 ; 46 ; 2 ; 0 ; [-0.0060894679713378091, 0.27362251739061522] ; [0.13873143232999222, 0.31453740444844608]
998 ; 46 ; 2 ; 1 ; [0.30107212806182848] ; [0.31642314076117078]
998 ; 46 ; 2 ; 2 ; [1.314305577769378] ; [0.32587019707478587]
998 ; 46 ; 2 ; 3 ; [0.070130933857717084] ; [0.34007940942922193]
998 ; 46 ; 2 ; 4 ; [0.46894367581610324] ; [0.10333368683059264]
998 ; 46 ; 2 ; 7 ; [0.31177136273567979] ; [0.29968731898801587]
998 ; 46 ; 3 ; 2 ; [0.25055453834329411] ; [0.87353312447114984]
998 ; 46 ; 4 ; 2 ; [2.6838753846746317] ; [1.5413902892604383]
998 ; 46 ; 4 ; 3 ; [0.2314479265089294] ; [2.333613847755863]
998 ; 46 ; 4 ; 4 ; [0.53103698574941893] ; [1.8006205404139941]
998 ; 46 ; 4 ; 5 ; [1.1124273957627402] ; [1.3314527954081088]
998 ; 46 ; 4 ; 9 ; [5.6898546927317462] ; [2.0951882112693703]
998 ; 46 ; 4 ; 10 ; [3.7849097145183941] ; [1.4091159196435048]
998 ; 46 ; 4 ; 11 ; [0.36553153863161381] ; [2.6448252882125134]
998 ; 46 ; 4 ; 12 ; [0.89990106177762874] ; [2.6094356408195334]
998 ; 46 ; 4 ; 14 ; [1.4117278226853862] ; [1.6805043433860283]
998 ; 46 ; 4 ; 16 ; [1.7575228418524764] ; [1.9554944804823109]
998 ; 46 ; 4 ; 17 ; [1.2058287889753303] ; [1.0689380080901143]
998 ; 46 ; 4 ; 18 ; [0.98651985820830534] ; [2.159290307298781]
998 ; 46 ; 4 ; 22 ; [0.38732151354895905] ; [2.637160450552217]
998 ; 46 ; 4 ; 26 ; [1.5064871454467295] ; [3.1448474543723641]
998 ; 46 ; 4 ; 27 ; [2.2255394139027809] ; [1.6509768592909002]
998 ; 46 ; 4 ; 30 ; [3.6390552433589103] ; [1.9968308859465955]
998 ; 46 ; 4 ; 33 ; [1.2269423060139644] ; [2.3183450628205713]
998 ; 46 ; 5 ; 0 ; [0.057609469553388984] ; [0.21835573104794151]
998 ; 46 ; 5 ; 1 ; [0.037134895728150596] ; [-0.11448360937302639]
998 ; 46 ; 6 ; 0 ; [1.6396352888022789] ; [0.49023891533039277]
998 ; 46 ; 6 ; 1 ; [0.92137772935100803] ; [0.70853500623518084]
998 ; 46 ; 6 ; 2 ; [0.4965627312559428] ; [0.6792087950180814]
998 ; 46 ; 6 ; 4 ; [1.0324376533088397] ; [0.56584780790448952]
998 ; 46 ; 6 ; 5 ; [2.9150633800899706] ; [0.43263200913403571]
998 ; 46 ; 6 ; 6 ; [0.78818096008311689] ; [0.5867856154615787]
998 ; 46 ; 6 ; 8 ; [2.2883113604229819] ; [0.55616400675798627]
998 ; 46 ; 6 ; 9 ; [2.2364296713871616] ; [0.73299190895043365]
998 ; 46 ; 6 ; 10 ; [2.3536807530644066] ; [0.18553717723669974]
998 ; 46 ; 6 ; 11 ; [0.71652954561545201] ; [0.18588983743553425]
998 ; 46 ; 8 ; 1 ; [-0.0019832303985155716] ; [0.11621339198657962]
998 ; 46 ; 9 ; 0 ; [0.50290218531162889] ; [0.43488179647431197]
998 ; 46 ; 10 ; 1 ; [0.069909084606112185] ; [0.80606522630239619]
998 ; 46 ; 11 ; 0 ; [0.23479398663353068] ; [0.98376753127433081]
998 ; 46 ; 11 ; 1 ; [0.36146168660371258] ; [0.47725465939566875]
998 ; 46 ; 11 ; 2 ; [0.075424396901442467] ; [0.19308291857948451]
998 ; 46 ; 12 ; 0 ; [0.49217399490898456, 0.45890980089728922, 0.2619899396077599] ; [0.2772073259997756, 0.17819600118115181, 0.3639019309390864]
998 ; 46 ; 12 ; 6 ; [0.84907385773941002] ; [2.4426281272362962]
998 ; 46 ; 13 ; 1 ; [0.52819658128267533] ; [1.0433113428757346]
998 ; 46 ; 13 ; 6 ; [1.5831236522897938] ; [2.384196511696087]
998 ; 46 ; 13 ; 9 ; [0.64796009409976152] ; [1.5833657770988998]
998 ; 46 ; 13 ; 11 ; [1.444809428858016] ; [1.2211958985464684]
998 ; 46 ; 13 ; 21 ; [1.2643199508058298] ; [2.5750948852418309]
998 ; 46 ; 13 ; 24 ; [0.1198888281119975] ; [1.4275254117518124]
998 ; 46 ; 13 ; 25 ; [1.358796961397635] ; [1.0278455247430549]
998 ; 46 ; 13 ; 27 ; [1.3172035724763627] ; [1.0453684630269326]
998 ; 46 ; 13 ; 28 ; [1.1050098886106301] ; [0.79263541416409278]
998 ; 46 ; 14 ; 0 ; [0.21896095459644843, 0.087115013833550997, 0.38615362237383066] ; [0.40461031518020169, 0.13769252381514063, 0.059581643067746312]
998 ; 46 ; 15 ; 4 ; [0.39787740375447472] ; [0.16802256709418376]
998 ; 46 ; 15 ; 8 ; [0.75304656147028848] ; [0.36819824261905321]
998 ; 46 ; 15 ; 13 ; [0.014704303467438362] ; [0.93385931562235103]
998 ; 46 ; 15 ; 16 ; [3.3719706641984888] ; [0.70837065785959386]
998 ; 46 ; 16 ; 1 ; [0.46977702899930091] ; [0.11639854403157686]
998 ; 46 ; 16 ; 2 ; [1.8817392159046842] ; [0.081003509129853879]
998 ; 46 ; 16 ; 8 ; [4.0891352177012505] ; [0.90966444509894118]
998 ; 46 ; 16 ; 20 ; [0.044283597199548573] ; [-0.090407010862447679]
998 ; 46 ; 16 ; 23 ; [0.029839314294362193] ; [0.75408003912337918]
998 ; 46 ; 16 ; 26 ; [0.46218966223580166] ; [0.36900347308736053]
998 ; 46 ; 17 ; 0 ; [-0.051291856998490211] ; [0.1869113548235998]
998 ; 46 ; 17 ; 2 ; [1.1886871693646517] ; [1.0036770661239229]
998 ; 46 ; 17 ; 3 ; [0.56794557489602249] ; [0.39591785995499312]
998 ; 46 ; 17 ; 7 ; [0.5708831796329612] ; [0.78655773434411069]
998 ; 46 ; 17 ; 9 ; [0.77654478444634267] ; [1.9569892238708975]
998 ; 46 ; 17 ; 11 ; [1.4215760550506675] ; [0.97043847432403052]
998 ; 46 ; 17 ; 13 ; [1.05589002226503] ; [1.3656130136784459]
998 ; 46 ; 17 ; 16 ; [0.37288541336860243] ; [0.57753927846715036]
998 ; 46 ; 18 ; 5 ; [0.062226796356011714] ; [0.17757658368367477]
998 ; 46 ; 19 ; 0 ; [0.015059189207220878, -0.011109091992981717] ; [0.18403996748982923, 0.20485708361040894]
998 ; 46 ; 19 ; 1 ; [0.68876646792164464] ; [0.042278629919739616]
998 ; 46 ; 20 ; 0 ; [0.42009323490945105] ; [0.49902608495206607]
998 ; 46 ; 20 ; 2 ; [0.23266265782977166] ; [0.13860658120958716]
998 ; 46 ; 20 ; 6 ; [0.81250724625830584] ; [0.63004704937714828]
998 ; 46 ; 20 ; 7 ; [1.274640845501908] ; [2.2854642297176704]
998 ; 46 ; 21 ; 1 ; [0.18647860283763776] ; [0.15456013256893872]
998 ; 46 ; 21 ; 18 ; [0.8661215919438493] ; [1.2245708644698758]
998 ; 46 ; 24 ; 0 ; [0.51466692198970021] ; [1.3771386880664833]
998 ; 46 ; 24 ; 2 ; [0.23238472683976408] ; [0.47189800763841167]
998 ; 46 ; 24 ; 5 ; [0.24283888463733599] ; [0.68381568634723999]
998 ; 46 ; 24 ; 8 ; [1.1952448028302589] ; [0.5059528629237886]
998 ; 46 ; 24 ; 10 ; [1.7718019257743591] ; [1.5669159368068044]
998 ; 46 ; 24 ; 14 ; [2.6165163197022214] ; [1.0457579816269245]
998 ; 46 ; 24 ; 20 ; [1.7057898155138507] ; [3.3456949202109865]
998 ; 46 ; 24 ; 25 ; [2.369123338758615] ; [0.088611420074370797]
998 ; 46 ; 24 ; 26 ; [4.0097236210954028] ; [0.15720704365435292]
998 ; 46 ; 25 ; 2 ; [0.50401207347276156] ; [0.85710128902763205]
998 ; 46 ; 25 ; 4 ; [0.17277639445251367] ; [0.31929658265108063]
998 ; 46 ; 25 ; 16 ; [0.36715099520668459] ; [1.3335478025440506]
998 ; 46 ; 25 ; 17 ; [1.811059403648543] ; [0.69716035863952364]
998 ; 46 ; 26 ; 1 ; [0.68684580127466666] ; [0.13714932239675265]
998 ; 46 ; 26 ; 15 ; [0.077033105851584682] ; [-0.0033332197168473099]
998 ; 46 ; 28 ; 0 ; [0.31014337778917728] ; [0.13171277653536551]
998 ; 46 ; 28 ; 1 ; [0.066486502428683134, 0.25536010736593512] ; [0.08719289729633721, 0.28880833319812793]
998 ; 46 ; 28 ; 5 ; [0.21670680268890305] ; [1.0300056651037701]
998 ; 46 ; 28 ; 11 ; [0.14284925893059855] ; [0.64769834756497935]
998 ; 46 ; 29 ; 0 ; [0.55857981298452974, 0.69881879066328234, 2.0559835254084797] ; [0.56770959885349792, 1.0706844395261439, 0.8588266345267932]
998 ; 46 ; 29 ; 1 ; [2.0008078289841085] ; [0.84184998071538286]
998 ; 46 ; 29 ; 10 ; [0.049339709931318462] ; [0.99342282233457724]
998 ; 46 ; 29 ; 11 ; [0.39817836186800976] ; [1.7927822699663472]
998 ; 46 ; 29 ; 13 ; [0.040321595095898867] ; [1.3154384922604396]
998 ; 46 ; 29 ; 14 ; [0.14905521830225898] ; [2.0782898177642766]
998 ; 46 ; 29 ; 17 ; [0.060389993083394738] ; [1.1654971546581721]
998 ; 46 ; 29 ; 18 ; [0.89677438433449841] ; [1.3113161740413637]
998 ; 46 ; 29 ; 19 ; [0.78438921049706356] ; [1.3390910031446486]
998 ; 46 ; 29 ; 21 ; [0.25263180765796878] ; [1.8162715099002451]
998 ; 46 ; 29 ; 22 ; [0.48597880600086663] ; [1.56536768264166]
